# /home/sunzzq2/Data/IResearch/Automated_Bug_Isolation/Twopass_heavy/Subjects/derby/versions/v5/subv8/boost/output.sites
derby,5_8,1,boost.profile.number,3400
derby,5_8,1,prune.profile.time,3930307
derby,5_8,1,prune.profile.size,1268
# /home/sunzzq2/Data/IResearch/Automated_Bug_Isolation/Twopass_heavy/Subjects/derby/versions/v5/subv8/prune/output.sites
derby,5_8,1,prune.profile.number,3252
derby,5_8,1,prune-minus-boost.profile.time,0
derby,5_8,1,prune-minus-boost.profile.size,4
# /home/sunzzq2/Data/IResearch/Automated_Bug_Isolation/Twopass_heavy/Subjects/derby/versions/v5/subv8/prune-minus-boost/output.sites
derby,5_8,1,prune-minus-boost.profile.number,1389978
derby,5_8,1,end
