space,3_-,5,start
space,3_-,5,boost,0.05
space,3_-,5,boost.preprocess.size,308484
space,3_-,5,boost.preprocess.time,1058
space,3_-,5,boost.preprocess.number,228
space,3_-,5,boost.preprocess.time_p,975.0
space,3_-,5,boost.mine.size,5960
space,3_-,5,boost.mine.time,1059
space,3_-,5,theta,0.393102
space,3_-,5,prune.preprocess.size,1515668
space,3_-,5,prune.preprocess.time,11658
space,3_-,5,prune.preprocess.number,1485
space,3_-,5,prune.preprocess.time_p,11477.0
space,3_-,5,prune.mine.size,5808
space,3_-,5,prune.mine.time,2736
space,3_-,5,coarse-grained.profile.time,
space,3_-,5,coarse-grained.profile.size,5036
space,3_-,5,boost.profile.time,
space,3_-,5,boost.profile.size,10020
space,3_-,5,prune-minus-boost.profile.time,
space,3_-,5,prune-minus-boost.profile.size,94736
space,3_-,5,end
