1,37,5,start
1,37,5,raw.profile.time,7140
1,37,5,coarse-grained.profile.time,28903
1,37,5,coarse-grained.profile.number,2048
1,37,5,coarse-grained.profile.size,13312
1,37,5,fine-grained.profile.time,277119
1,37,5,fine-grained.profile.size,156496
1,37,5,fine-grained.profile.number,75862
1,37,5,fine-grained.preprocess.size,11227488
1,37,5,fine-grained.preprocess.time,17977
1,37,5,fine-grained.preprocess.number,25
1,37,5,fine-grained.preprocess.time_p,17212.0
1,37,5,fine-grained.mine.size,21216
1,37,5,fine-grained.mine.time,60
1,37,5,boost.includes,-sampler-include-method=-org.apache.commons.lang3.ArrayUtils--java.lang.Object[]-addAll-java.lang.Object[],java.lang.Object[]--
1,37,5,boost.profile.number,94
1,37,5,boost.profile.time,18026
1,37,5,boost.profile.size,6808
1,37,5,boost.preprocess.size,565536
1,37,5,boost.preprocess.time,1329
1,37,5,boost.preprocess.number,25
1,37,5,boost.preprocess.time_p,856.0
1,37,5,boost.mine.size,21136
1,37,5,boost.mine.time,60
1,37,5,prune.theta,0.005449
1,37,5,prune.includes,-sampler-include-method=-org.apache.commons.lang3.ArrayUtils--java.lang.Object[]-addAll-java.lang.Object[],java.lang.Object[]--
1,37,5,prune.includes_diff,
1,37,5,end
