3,49,10,start
3,49,10,raw.profile.time,245
3,49,10,coarse-grained.profile.time,1626
3,49,10,coarse-grained.profile.number,5350
3,49,10,coarse-grained.profile.size,564
3,49,10,fine-grained.profile.time,56339
3,49,10,fine-grained.profile.size,38944
3,49,10,fine-grained.profile.number,959186
3,49,10,fine-grained.preprocess.size,4396928
3,49,10,fine-grained.preprocess.time,6994
3,49,10,fine-grained.preprocess.number,284
3,49,10,fine-grained.preprocess.time_p,6299.0
3,49,10,fine-grained.mine.size,25744
3,49,10,fine-grained.mine.time,245
3,49,10,boost.includes,-sampler-include-method=-org.apache.commons.math.exception.util.LocalizedFormats--java.lang.String-getLocalizedString-java.util.Locale-- -sampler-include-method=-org.apache.commons.math.linear.OpenMapRealVector--org.apache.commons.math.linear.OpenMapRealVector-ebeMultiply-org.apache.commons.math.linear.RealVector--
3,49,10,boost.profile.number,58
3,49,10,boost.profile.time,1385
3,49,10,boost.profile.size,144
3,49,10,boost.preprocess.size,152544
3,49,10,boost.preprocess.time,636
3,49,10,boost.preprocess.number,11
3,49,10,boost.preprocess.time_p,129.0
3,49,10,boost.mine.size,19296
3,49,10,boost.mine.time,52
3,49,10,prune.theta,0.130033
