3,93,1,start
3,93,1,raw.profile.time,3217
3,93,1,coarse-grained.profile.time,19128
3,93,1,coarse-grained.profile.number,2503
3,93,1,coarse-grained.profile.size,4476
3,93,1,fine-grained.profile.time,2057927
3,93,1,fine-grained.profile.size,303832
3,93,1,fine-grained.profile.number,479514
3,93,1,fine-grained.preprocess.size,17945552
3,93,1,fine-grained.preprocess.time,29404
3,93,1,fine-grained.preprocess.number,29
3,93,1,fine-grained.preprocess.time_p,28444.0
3,93,1,fine-grained.mine.size,20048
3,93,1,fine-grained.mine.time,103
3,93,1,boost.includes,-sampler-include-method=-org.apache.commons.math.util.MathUtils--long-factorial-int-- -sampler-include-method=-org.apache.commons.math.util.MathUtils--double-factorialDouble-int--
3,93,1,boost.profile.number,52
3,93,1,boost.profile.time,16040
3,93,1,boost.profile.size,2296
3,93,1,boost.preprocess.size,258464
3,93,1,boost.preprocess.time,1292
3,93,1,boost.preprocess.number,13
3,93,1,boost.preprocess.time_p,758.0
3,93,1,boost.mine.size,20560
3,93,1,boost.mine.time,45
3,93,1,prune.theta,0.019293
3,93,1,prune.includes,-sampler-include-method=-org.apache.commons.math.util.MathUtils--long-factorial-int-- -sampler-include-method=-org.apache.commons.math.util.MathUtils--double-factorialDouble-int-- -sampler-include-method=-org.apache.commons.math.util.MathUtils--double-factorialLog-int--
3,93,1,prune.includes_diff,-sampler-include-method=-org.apache.commons.math.util.MathUtils--double-factorialLog-int--
3,93,1,prune_s.profile.number,40
3,93,1,prune_s.profile.time,11595
3,93,1,prune_s.profile.size,2296
3,93,1,prune.profile.number,92
3,93,1,prune.profile.time,7078
3,93,1,prune.profile.size,2296
3,93,1,prune.preprocess.size,298784
3,93,1,prune.preprocess.time,1566
3,93,1,prune.preprocess.number,29
3,93,1,prune.preprocess.time_p,1147.0
3,93,1,prune.mine.size,20496
3,93,1,prune.mine.time,50
3,93,1,end
