5,19,1,start
5,19,1,raw.profile.time,56536
5,19,1,coarse-grained.profile.time,424458
5,19,1,coarse-grained.profile.number,1641
5,19,1,coarse-grained.profile.size,11336
5,19,1,fine-grained.profile.time,416931
5,19,1,fine-grained.profile.size,22360
5,19,1,fine-grained.profile.number,11106
5,19,1,fine-grained.preprocess.size,4574080
5,19,1,fine-grained.preprocess.time,8079
5,19,1,fine-grained.preprocess.number,569
5,19,1,fine-grained.preprocess.time_p,7460.0
5,19,1,fine-grained.mine.size,107936
5,19,1,fine-grained.mine.time,428
