1,19,10,start
1,19,10,raw.profile.time,8868
1,19,10,coarse-grained.profile.time,37522
1,19,10,coarse-grained.profile.number,2293
1,19,10,coarse-grained.profile.size,15360
1,19,10,fine-grained.profile.time,261778
1,19,10,fine-grained.profile.size,203064
1,19,10,fine-grained.profile.number,84442
1,19,10,fine-grained.preprocess.size,17815888
1,19,10,fine-grained.preprocess.time,22169
1,19,10,fine-grained.preprocess.number,68
1,19,10,fine-grained.preprocess.time_p,21335.0
1,19,10,fine-grained.mine.size,23424
1,19,10,fine-grained.mine.time,62
1,19,10,boost.includes,-sampler-include-method=-org.apache.commons.lang3.text.translate.NumericEntityUnescaper--int-translate-java.lang.CharSequence,int,java.io.Writer--
1,19,10,boost.profile.number,456
1,19,10,boost.profile.time,25240
1,19,10,boost.profile.size,7852
1,19,10,boost.preprocess.size,1096528
1,19,10,boost.preprocess.time,1978
1,19,10,boost.preprocess.number,45
1,19,10,boost.preprocess.time_p,1497.0
1,19,10,boost.mine.size,21696
1,19,10,boost.mine.time,52
1,19,10,prune.theta,0.004431
1,19,10,prune.includes,-sampler-include-method=-org.apache.commons.lang3.text.translate.NumericEntityUnescaper--int-translate-java.lang.CharSequence,int,java.io.Writer-- -sampler-include-method=-org.apache.commons.lang3.text.translate.CharSequenceTranslator--java.lang.String-translate-java.lang.CharSequence-- -sampler-include-method=-org.apache.commons.lang3.text.translate.CharSequenceTranslator--void-translate-java.lang.CharSequence,java.io.Writer--
1,19,10,prune.includes_diff,-sampler-include-method=-org.apache.commons.lang3.text.translate.CharSequenceTranslator--java.lang.String-translate-java.lang.CharSequence-- -sampler-include-method=-org.apache.commons.lang3.text.translate.CharSequenceTranslator--void-translate-java.lang.CharSequence,java.io.Writer--
1,19,10,prune_s.profile.number,272
1,19,10,prune_s.profile.time,21579
1,19,10,prune_s.profile.size,7848
1,19,10,prune.profile.number,728
1,19,10,prune.profile.time,21782
1,19,10,prune.profile.size,7852
1,19,10,prune.preprocess.size,1456224
1,19,10,prune.preprocess.time,2130
1,19,10,prune.preprocess.number,68
1,19,10,prune.preprocess.time_p,1525.0
1,19,10,prune.mine.size,23120
1,19,10,prune.mine.time,52
1,19,10,end
