6,44,5,start
6,44,5,raw.profile.time,59362
6,44,5,coarse-grained.profile.time,366966
6,44,5,coarse-grained.profile.number,9678
6,44,5,coarse-grained.profile.size,123356
6,44,5,fine-grained.profile.time,659329
6,44,5,fine-grained.profile.size,1013888
6,44,5,fine-grained.profile.number,200776
6,44,5,fine-grained.preprocess.size,44157760
6,44,5,fine-grained.preprocess.time,122751
6,44,5,fine-grained.preprocess.number,624
6,44,5,fine-grained.preprocess.time_p,120652.0
6,44,5,fine-grained.mine.size,338176
6,44,5,fine-grained.mine.time,1932
6,44,5,boost.includes,-sampler-include-method=-com.google.javascript.jscomp.parsing.IRFactory-TransformDispatcher--com.google.javascript.rhino.Node-processRegExpLiteral-com.google.javascript.jscomp.mozilla.rhino.ast.RegExpLiteral--
6,44,5,boost.profile.number,22
6,44,5,boost.profile.time,54338
6,44,5,boost.profile.size,16088
6,44,5,boost.preprocess.size,838912
6,44,5,boost.preprocess.time,2035
6,44,5,boost.preprocess.number,5
6,44,5,boost.preprocess.time_p,1633.0
6,44,5,boost.mine.size,23280
6,44,5,boost.mine.time,52
6,44,5,prune.theta,0.001581
