3,78,1,start
3,78,1,raw.profile.time,2777
3,78,1,coarse-grained.profile.time,21937
3,78,1,coarse-grained.profile.number,3952
3,78,1,coarse-grained.profile.size,1444
3,78,1,fine-grained.profile.time,994849
3,78,1,fine-grained.profile.size,92164
3,78,1,fine-grained.profile.number,670846
3,78,1,fine-grained.preprocess.size,7914384
3,78,1,fine-grained.preprocess.time,10289
3,78,1,fine-grained.preprocess.number,1746
3,78,1,fine-grained.preprocess.time_p,9643.0
3,78,1,fine-grained.mine.size,45696
3,78,1,fine-grained.mine.time,523
3,78,1,boost.includes,-sampler-include-method=-org.apache.commons.math.MathRuntimeException--java.lang.String-buildMessage-java.util.Locale,java.lang.String,java.lang.Object[]-- -sampler-include-method=-org.apache.commons.math.MathRuntimeException--java.lang.String-translate-java.lang.String,java.util.Locale-- -sampler-include-method=-org.apache.commons.math.ode.sampling.AbstractStepInterpolator--void--init--double[],boolean-- -sampler-include-method=-org.apache.commons.math.analysis.solvers.UnivariateRealSolverImpl--void-verifyInterval-double,double-- -sampler-include-method=-org.apache.commons.math.ode.events.EventState-1--double-value-double-- -sampler-include-method=-org.apache.commons.math.ConvergingAlgorithmImpl--void--init--int,double-- -sampler-include-method=-org.apache.commons.math.analysis.solvers.UnivariateRealSolverImpl--void--init--int,double--
3,78,1,boost.profile.number,36
3,78,1,boost.profile.time,15520
3,78,1,boost.profile.size,504
3,78,1,boost.preprocess.size,165056
3,78,1,boost.preprocess.time,835
3,78,1,boost.preprocess.number,7
3,78,1,boost.preprocess.time_p,326.0
3,78,1,boost.mine.size,19360
3,78,1,boost.mine.time,31
3,78,1,prune.theta,0.070502
3,78,1,prune.includes,
3,78,1,prune.includes_diff,
3,78,1,end
