4,7,10,start
4,7,10,raw.profile.time,6062
4,7,10,coarse-grained.profile.time,149021
4,7,10,coarse-grained.profile.number,3880
4,7,10,coarse-grained.profile.size,48444
4,7,10,fine-grained.profile.time,1619979
4,7,10,fine-grained.profile.size,462472
4,7,10,fine-grained.profile.number,93986
4,7,10,fine-grained.preprocess.size,42052912
4,7,10,fine-grained.preprocess.time,50545
4,7,10,fine-grained.preprocess.number,1735
4,7,10,fine-grained.preprocess.time_p,49178.0
4,7,10,fine-grained.mine.size,386288
4,7,10,fine-grained.mine.time,13622
4,7,10,boost.includes,-sampler-include-method=-org.joda.time.IllegalFieldValueException--void-prependMessage-java.lang.String--
4,7,10,boost.profile.number,4
4,7,10,boost.profile.time,33099
4,7,10,boost.profile.size,16604
4,7,10,boost.preprocess.size,676736
4,7,10,boost.preprocess.time,1748
4,7,10,boost.preprocess.number,2
4,7,10,boost.preprocess.time_p,1148.0
4,7,10,boost.mine.size,23616
4,7,10,boost.mine.time,51
4,7,10,prune.theta,0.006232
4,7,10,prune.includes,
4,7,10,prune.includes_diff,
4,7,10,end
