1,22,1,start
1,22,1,raw.profile.time,8742
1,22,1,coarse-grained.profile.time,33973
1,22,1,coarse-grained.profile.number,2259
1,22,1,coarse-grained.profile.size,14936
1,22,1,fine-grained.profile.time,258277
1,22,1,fine-grained.profile.size,190144
1,22,1,fine-grained.profile.number,81936
1,22,1,fine-grained.preprocess.size,17783840
1,22,1,fine-grained.preprocess.time,20205
1,22,1,fine-grained.preprocess.number,410
1,22,1,fine-grained.preprocess.time_p,19276.0
1,22,1,fine-grained.mine.size,27776
1,22,1,fine-grained.mine.time,100
1,22,1,boost.includes,-sampler-include-method=-org.apache.commons.lang3.math.Fraction--int-greatestCommonDivisor-int,int--
1,22,1,boost.profile.number,1038
1,22,1,boost.profile.time,70668
1,22,1,boost.profile.size,7632
1,22,1,boost.preprocess.size,2282320
1,22,1,boost.preprocess.time,2720
1,22,1,boost.preprocess.number,303
1,22,1,boost.preprocess.time_p,2059.0
1,22,1,boost.mine.size,23856
1,22,1,boost.mine.time,101
1,22,1,prune.theta,0.010165
1,22,1,prune.includes,-sampler-include-method=-org.apache.commons.lang3.math.Fraction--int-greatestCommonDivisor-int,int--
1,22,1,prune.includes_diff,
1,22,1,end
