3,103,1,start
3,103,1,raw.profile.time,62
3,103,1,coarse-grained.profile.time,428
3,103,1,coarse-grained.profile.number,1526
3,103,1,coarse-grained.profile.size,164
3,103,1,fine-grained.profile.time,45422
3,103,1,fine-grained.profile.size,6644
3,103,1,fine-grained.profile.number,284264
3,103,1,fine-grained.preprocess.size,2178016
3,103,1,fine-grained.preprocess.time,2635
3,103,1,fine-grained.preprocess.number,493
3,103,1,fine-grained.preprocess.time_p,2071.0
3,103,1,fine-grained.mine.size,21696
3,103,1,fine-grained.mine.time,48
3,103,1,boost.includes,-sampler-include-method=-org.apache.commons.math.MathException--void--clinit---- -sampler-include-method=-org.apache.commons.math.MathException--void-printStackTrace-java.io.PrintWriter-- -sampler-include-method=-org.apache.commons.math.MathException--java.lang.String-translate-java.lang.String,java.util.Locale--
3,103,1,boost.profile.number,28
3,103,1,boost.profile.time,265
3,103,1,boost.profile.size,84
3,103,1,boost.preprocess.size,144288
3,103,1,boost.preprocess.time,603
3,103,1,boost.preprocess.number,3
3,103,1,boost.preprocess.time_p,158.0
3,103,1,boost.mine.size,19376
3,103,1,boost.mine.time,60
3,103,1,prune.theta,0.286397
3,103,1,prune.includes,
3,103,1,prune.includes_diff,
3,103,1,end
