3,60,1,start
3,60,1,raw.profile.time,367
3,60,1,coarse-grained.profile.time,5228
3,60,1,coarse-grained.profile.number,4442
3,60,1,coarse-grained.profile.size,420
3,60,1,fine-grained.profile.time,1110314
3,60,1,fine-grained.profile.size,24148
3,60,1,fine-grained.profile.number,798960
3,60,1,fine-grained.preprocess.size,2920768
3,60,1,fine-grained.preprocess.time,6307
3,60,1,fine-grained.preprocess.number,6764
3,60,1,fine-grained.preprocess.time_p,5650.0
3,60,1,fine-grained.mine.size,1936576
3,60,1,fine-grained.mine.time,53720
3,60,1,boost.includes,-sampler-include-method=-org.apache.commons.math.MathException--void--init--org.apache.commons.math.exception.util.Localizable,java.lang.Object[]-- -sampler-include-method=-org.apache.commons.math.MathException--java.lang.String-getMessage-java.util.Locale-- -sampler-include-method=-org.apache.commons.math.exception.util.LocalizedFormats--java.lang.String-getLocalizedString-java.util.Locale-- -sampler-include-method=-org.apache.commons.math.distribution.NormalDistributionImpl--void--clinit---- -sampler-include-method=-org.apache.commons.math.special.Gamma--void--clinit---- -sampler-include-method=-org.apache.commons.math.util.FastMath--double-expint-int,double[]--
3,60,1,boost.profile.number,84
3,60,1,boost.profile.time,1380
3,60,1,boost.profile.size,108
3,60,1,boost.preprocess.size,149440
3,60,1,boost.preprocess.time,836
3,60,1,boost.preprocess.number,27
3,60,1,boost.preprocess.time_p,237.0
3,60,1,boost.mine.size,19648
3,60,1,boost.mine.time,35
3,60,1,prune.theta,0.235193
