5,25,10,start
5,25,10,raw.profile.time,22830
5,25,10,coarse-grained.profile.time,200540
5,25,10,coarse-grained.profile.number,1478
5,25,10,coarse-grained.profile.size,10452
5,25,10,fine-grained.profile.time,222831
5,25,10,fine-grained.profile.size,20596
5,25,10,fine-grained.profile.number,10006
5,25,10,fine-grained.preprocess.size,2491312
5,25,10,fine-grained.preprocess.time,5239
5,25,10,fine-grained.preprocess.number,283
5,25,10,fine-grained.preprocess.time_p,4672.0
5,25,10,fine-grained.mine.size,68976
5,25,10,fine-grained.mine.time,267
