space,35_-,10,start
space,35_-,10,fine-grained.preprocess.size,1944900
space,35_-,10,fine-grained.preprocess.time,99972
space,35_-,10,fine-grained.preprocess.number,3948 
space,35_-,10,fine-grained.preprocess.time_p,99702.0
space,35_-,10,fine-grained.mine.size,5928
space,35_-,10,fine-grained.mine.time,51441
space,35_-,10,boost,0.05
space,35_-,10,boost.functions.count,5
space,35_-,10,boost.includes,-sampler-include-method=fixnodor -sampler-include-method=mksnode -sampler-include-method=nodorien -sampler-include-method=secoramp -sampler-include-method=sgramp2n
space,35_-,10,boost.preprocess.size,314416
space,35_-,10,boost.preprocess.time,1505
space,35_-,10,boost.preprocess.number,237 
space,35_-,10,boost.preprocess.time_p,1398.0
space,35_-,10,boost.mine.size,5868
space,35_-,10,boost.mine.time,2904
space,35_-,10,theta,0.192619
space,35_-,10,prune.functions.count,63
space,35_-,10,prune.includes,-sampler-include-method=Get1Real -sampler-include-method=GetInt -sampler-include-method=GetKeyword -sampler-include-method=GetReal -sampler-include-method=GetUName -sampler-include-method=InKWords -sampler-include-method=InUNames -sampler-include-method=InserUN -sampler-include-method=TapeGet -sampler-include-method=adddef -sampler-include-method=addscan -sampler-include-method=adremdef -sampler-include-method=ampunit -sampler-include-method=ampval -sampler-include-method=angunit -sampler-include-method=angval -sampler-include-method=circspec -sampler-include-method=elemdef -sampler-include-method=emsginit -sampler-include-method=fixgramp -sampler-include-method=fixnodor -sampler-include-method=fixport -sampler-include-method=fixselem -sampler-include-method=fixsgrel -sampler-include-method=fixsgrid -sampler-include-method=floatsup -sampler-include-method=geomspec -sampler-include-method=grampexc -sampler-include-method=greldef -sampler-include-method=grexcdef -sampler-include-method=grgeodef -sampler-include-method=griddef1 -sampler-include-method=groupdef -sampler-include-method=grphaexc -sampler-include-method=hexgrdef -sampler-include-method=isletter -sampler-include-method=kwdsinit -sampler-include-method=lenunit -sampler-include-method=main -sampler-include-method=mksnode -sampler-include-method=moseinit -sampler-include-method=nodecoor -sampler-include-method=nodedef -sampler-include-method=nodorien -sampler-include-method=nomefile -sampler-include-method=polspec -sampler-include-method=portspec -sampler-include-method=prnfile -sampler-include-method=readfil3 -sampler-include-method=recgrdef -sampler-include-method=recspec -sampler-include-method=remdef -sampler-include-method=secoramp -sampler-include-method=secorpha -sampler-include-method=sgramp2n -sampler-include-method=simamp -sampler-include-method=simgroup -sampler-include-method=sinelem -sampler-include-method=sinstep -sampler-include-method=squgrdef -sampler-include-method=unaminit -sampler-include-method=unifamp -sampler-include-method=unifpha
space,35_-,10,prune.preprocess.size,1700752
space,35_-,10,prune.preprocess.time,49793
space,35_-,10,prune.preprocess.number,3489 
space,35_-,10,prune.preprocess.time_p,49593.0
space,35_-,10,prune.mine.size,5832
space,35_-,10,prune.mine.time,45168
space,35_-,10,boost.profile.time,12879
space,35_-,10,boost.profile.size,15024
# /home/sunzzq2/Data/IResearch/Automated_Bug_Isolation/Twopass_heavy/Subjects/space/versions/v35/v35_b.sites
space,35_-,10,boost.profile.number,9082
space,35_-,10,prune-minus-boost.profile.time,44476
space,35_-,10,prune-minus-boost.profile.size,256404
# /home/sunzzq2/Data/IResearch/Automated_Bug_Isolation/Twopass_heavy/Subjects/space/versions/v35/v35_pmb.sites
space,35_-,10,prune-minus-boost.profile.number,203338
space,35_-,10,end
