space,10_-,5,start
space,10_-,5,fine-grained.preprocess.size,1953000
space,10_-,5,fine-grained.preprocess.time,103767
space,10_-,5,fine-grained.preprocess.number,4302 
space,10_-,5,fine-grained.preprocess.time_p,103473.0
space,10_-,5,fine-grained.mine.size,5844
space,10_-,5,fine-grained.mine.time,63085
space,10_-,5,boost,0.05
space,10_-,5,boost.functions.count,9
space,10_-,5,boost.includes,-sampler-include-method=circspec -sampler-include-method=fixgrpha -sampler-include-method=grwrite -sampler-include-method=hexdef -sampler-include-method=mkshex -sampler-include-method=polydef -sampler-include-method=seqrothg -sampler-include-method=simpha -sampler-include-method=simpol
space,10_-,5,boost.preprocess.size,460108
space,10_-,5,boost.preprocess.time,1546
space,10_-,5,boost.preprocess.number,300 
space,10_-,5,boost.preprocess.time_p,1412.0
space,10_-,5,boost.mine.size,5916
space,10_-,5,boost.mine.time,2450
space,10_-,5,theta,0.487138
space,10_-,5,prune.functions.count,60
space,10_-,5,prune.includes,-sampler-include-method=Get1Real -sampler-include-method=GetInt -sampler-include-method=GetKeyword -sampler-include-method=GetReal -sampler-include-method=GetUName -sampler-include-method=InKWords -sampler-include-method=InUNames -sampler-include-method=InserUN -sampler-include-method=TapeGet -sampler-include-method=adddef -sampler-include-method=addscan -sampler-include-method=adremdef -sampler-include-method=ampunit -sampler-include-method=ampval -sampler-include-method=blockdef -sampler-include-method=circspec -sampler-include-method=elemdef -sampler-include-method=emsginit -sampler-include-method=fixgramp -sampler-include-method=fixgrpha -sampler-include-method=fixport -sampler-include-method=fixselem -sampler-include-method=fixsgrel -sampler-include-method=fixsgrid -sampler-include-method=floatsup -sampler-include-method=geomspec -sampler-include-method=grampexc -sampler-include-method=greldef -sampler-include-method=grexcdef -sampler-include-method=grgeodef -sampler-include-method=griddef1 -sampler-include-method=groupdef -sampler-include-method=grphaexc -sampler-include-method=grwrite -sampler-include-method=hexdef -sampler-include-method=isletter -sampler-include-method=kwdsinit -sampler-include-method=lenunit -sampler-include-method=main -sampler-include-method=mkshex -sampler-include-method=moseinit -sampler-include-method=nodecoor -sampler-include-method=nodedef -sampler-include-method=nomefile -sampler-include-method=polspec -sampler-include-method=polydef -sampler-include-method=portspec -sampler-include-method=prnfile -sampler-include-method=readfil3 -sampler-include-method=recspec -sampler-include-method=remdef -sampler-include-method=simamp -sampler-include-method=simgroup -sampler-include-method=simpha -sampler-include-method=simpol -sampler-include-method=sinelem -sampler-include-method=squgrdef -sampler-include-method=unaminit -sampler-include-method=unifamp -sampler-include-method=unifpha
space,10_-,5,prune.preprocess.size,1703164
space,10_-,5,prune.preprocess.time,43602
space,10_-,5,prune.preprocess.number,3484 
space,10_-,5,prune.preprocess.time_p,43382.0
space,10_-,5,prune.mine.size,5868
space,10_-,5,prune.mine.time,50563
space,10_-,5,boost.profile.time,8744
space,10_-,5,boost.profile.size,10028
# /home/sunzzq2/Data/IResearch/Automated_Bug_Isolation/Twopass_heavy/Subjects/space/versions/v10/v10_b.sites
space,10_-,5,boost.profile.number,5800
space,10_-,5,prune-minus-boost.profile.time,37531
space,10_-,5,prune-minus-boost.profile.size,223936
# /home/sunzzq2/Data/IResearch/Automated_Bug_Isolation/Twopass_heavy/Subjects/space/versions/v10/v10_pmb.sites
space,10_-,5,prune-minus-boost.profile.number,175456
space,10_-,5,end
