name,top-1,top-5,top-10
v3_subv50,1.81,1.81,1.81
v3_subv52,1.39,1.39,1.39
v3_subv53,0.02,0.02,0.02
v3_subv57,0.11,0.11,0.11
v3_subv58,2.76,2.76,2.76
v3_subv6,0.02,3.88,3.88
v3_subv60,3.6,3.6,3.6
v3_subv61,0,0,0
v3_subv65,2.36,2.36,2.36
v3_subv66,0.83,0.83,1.06
v3_subv67,0.83,0.83,0.83
v3_subv68,2.45,2.45,2.45
v3_subv69,3.13,3.13,3.13
v3_subv7,3.7,3.7,3.7
v3_subv70,0.04,0.04,0.04
v3_subv71,1.46,3.55,3.55
v3_subv72,0.83,0.83,0.83
v3_subv73,0.81,0.81,0.81
v3_subv75,0.04,0.04,0.04
v3_subv76,3.02,3.64,3.64
v3_subv77,0.21,0.21,0.21
v3_subv78,1.31,1.31,1.31
v3_subv8,0.49,0.49,0.49
v3_subv80,5.87,5.87,5.87
v3_subv81,5.16,5.16,5.16
v3_subv82,0.83,0.83,0.83
v3_subv83,0.85,0.85,0.85
v3_subv85,0.45,0.45,0.45
v3_subv86,3.1,3.1,3.1
v3_subv87,0.9,0.9,0.9
v3_subv88,0.93,0.93,0.93
v3_subv89,,,
v3_subv9,0.69,0.69,0.69
v3_subv90,0,0,0
v3_subv91,0.24,0.24,0.24
v3_subv92,0.08,0.08,0.08
v3_subv94,0.2,0.2,0.2
v3_subv95,2.31,2.31,2.31
v3_subv96,0.37,0.37,0.37
v3_subv97,1.44,1.44,1.44
v3_subv98,0.18,0.18,0.18
v3_subv99,0.24,0.24,0.24
v4_subv1,0.96,0.96,0.96
v4_subv10,3.33,6.06,6.06
v4_subv11,19.46,19.46,19.46
v4_subv12,4.84,5.76,5.76
v4_subv13,6.76,6.76,6.76
v4_subv14,1.81,18.06,18.06
v4_subv15,0.07,0.07,0.07
v4_subv16,8.19,13.62,13.62
v4_subv17,5.52,5.52,5.52
v4_subv18,0.91,0.91,0.91
v4_subv19,10.21,10.21,10.21
v4_subv2,1.65,1.65,1.65
v4_subv20,8.94,8.94,8.94
v4_subv21,9.37,9.37,9.37
v4_subv22,2.92,2.92,2.92
v4_subv23,1.72,1.72,1.72
v4_subv24,7.23,8.38,9.36
v4_subv25,7.35,7.35,7.35
v4_subv26,19.64,22.89,22.89
v4_subv27,6.51,6.51,6.51
v4_subv3,7.38,10.98,10.98
v4_subv4,1.54,1.54,1.54
v4_subv5,1.29,2.47,2.47
v4_subv6,3.57,10.46,10.46
v4_subv7,5.99,6.46,6.46
v4_subv8,6.29,6.29,6.29
v4_subv9,6.33,6.33,6.33
v5_subv1,6.75,16.09,22.3
v5_subv10,10.08,10.08,10.08
v5_subv11,3.69,3.69,3.69
v5_subv12,1.37,4.9,5.26
v5_subv13,21.14,21.14,21.14
v5_subv14,21.44,21.44,21.44
v5_subv15,9.95,9.95,9.95
v5_subv16,15.63,15.63,15.63
v5_subv17,5.04,5.04,5.04
v5_subv18,3.75,3.75,3.75
v5_subv19,15.94,15.94,15.94
v5_subv2,2.91,2.91,2.91
v5_subv20,9.45,17.63,17.63
v5_subv21,2.44,2.44,2.44
v5_subv23,15.42,15.42,15.42
v5_subv24,12.2,12.2,12.2
v5_subv26,10.59,10.59,10.59
v5_subv27,15.61,15.61,15.61
v5_subv28,14.92,14.92,14.92
v5_subv29,26.02,26.02,26.02
v5_subv3,16.84,18.1,19.19
v5_subv30,11.47,11.47,11.47
v5_subv31,8.64,8.64,8.64
v5_subv32,32.07,32.07,32.07
v5_subv33,28.31,28.31,28.31
v5_subv34,22.71,22.71,22.71
v5_subv35,16.38,16.38,16.38
v5_subv36,20.06,20.06,20.06
v5_subv37,16.04,16.04,16.04
v5_subv38,27.89,27.89,27.89
v5_subv4,12.46,12.46,12.46
v5_subv6,18.91,18.91,18.91
v5_subv7,12.08,12.08,12.08
v5_subv8,1.11,1.11,1.11
v5_subv9,10.32,10.32,10.32
v6_subv1,6.42,20.43,29.42
v6_subv100,2.82,2.84,2.84
v6_subv101,21.11,21.11,21.11
v6_subv102,27.09,27.09,27.09
v6_subv103,13.61,13.61,13.61
v6_subv104,1.3,1.3,1.3
v6_subv105,6.81,6.81,6.81
v6_subv106,10.56,10.56,10.56
v6_subv107,9.16,9.16,9.16
v6_subv108,6.15,6.15,6.15
v6_subv109,3.29,3.29,3.29
v6_subv110,3.83,3.83,3.83
v6_subv111,2.64,2.64,2.64
v6_subv112,12.42,12.42,12.42
v6_subv113,4.28,4.28,4.28
v6_subv114,8.24,8.24,8.24
v6_subv115,9.94,11.49,11.49
v6_subv116,14.65,14.65,14.65
v6_subv117,11.74,11.74,11.74
v6_subv118,14.55,14.55,14.55
v6_subv119,6.35,6.35,6.35
v6_subv12,9.63,9.63,9.63
v6_subv120,7.98,7.98,7.98
v6_subv121,7.98,7.98,7.98
v6_subv122,2.15,2.15,2.15
v6_subv123,3.59,3.59,3.59
v6_subv124,5.3,5.3,5.3
v6_subv125,12.02,12.02,12.02
v6_subv126,5.81,6.29,6.29
v6_subv127,6.16,6.56,6.69
v6_subv128,2.96,2.96,2.96
v6_subv129,17.68,17.68,17.68
v6_subv13,20.58,20.58,20.58
v6_subv130,9.46,9.46,9.46
v6_subv131,5.79,5.79,5.79
v6_subv132,6.29,6.29,6.29
v6_subv133,3.53,3.53,3.53
v6_subv134,17.97,17.97,17.97
v6_subv135,15.43,15.43,15.43
v6_subv136,8.66,11.72,11.72
v6_subv137,6.22,6.58,6.58
v6_subv138,10.87,10.87,10.87
v6_subv139,5.96,6.3,6.3
v6_subv14,8.89,8.89,8.89
v6_subv140,3.81,3.81,3.81
v6_subv141,16.41,20.44,20.44
v6_subv142,9.52,9.52,9.52
v6_subv143,4.11,4.57,4.57
v6_subv144,11.72,13.27,13.32
v6_subv145,3.35,3.35,3.35
v6_subv146,1.59,1.59,1.59
v6_subv147,2.72,13.36,13.36
v6_subv148,7.45,8.28,9.12
v6_subv149,14.13,14.13,14.13
v6_subv150,9.46,9.46,9.46
v6_subv151,0.05,0.05,0.05
v6_subv152,7.2,7.2,7.2
v6_subv153,7.51,7.51,7.51
v6_subv154,9.72,9.72,9.72
v6_subv155,7.32,9.15,9.15
v6_subv156,9.27,12.26,12.26
v6_subv157,8.62,11.47,11.47
v6_subv158,18.28,18.28,18.28
v6_subv159,10.51,10.51,10.51
v6_subv16,18.98,18.98,18.98
v6_subv160,14.4,14.4,14.4
v6_subv161,2.34,2.34,2.34
v6_subv162,6.4,6.4,6.4
v6_subv163,6.4,6.4,6.4
v6_subv164,9.72,9.72,9.72
v6_subv165,9.97,9.97,9.97
v6_subv166,7.54,7.54,7.54
v6_subv167,10.95,10.95,10.95
v6_subv168,10.35,10.35,10.35
v6_subv169,11.38,11.38,11.38
v6_subv17,10.3,10.3,10.3
v6_subv170,10.22,10.22,10.22
v6_subv171,15.2,15.2,15.2
v6_subv172,11.63,11.63,11.63
v6_subv173,6.36,6.36,6.36
v6_subv174,5.95,6.79,6.79
v6_subv175,11.62,11.62,11.62
v6_subv176,10.75,10.75,10.75
v6_subv18,12.23,12.23,12.23
v6_subv19,7.1,7.1,7.1
v6_subv2,8.02,8.02,8.02
v6_subv20,5.62,5.62,5.62
v6_subv21,6.08,6.08,6.08
v6_subv22,6.1,6.1,6.1
v6_subv23,2.62,2.62,2.62
v6_subv24,3.38,3.38,3.38
v6_subv25,7.64,7.64,7.64
v6_subv26,4.97,5.92,19.98
v6_subv27,0.07,0.08,0.08
v6_subv28,8.97,8.97,8.97
v6_subv29,6.49,7.55,7.55
v6_subv30,8.26,9.07,9.07
v6_subv31,7.29,7.29,7.29
v6_subv32,2.74,11.48,11.48
v6_subv33,11.04,11.04,11.04
v6_subv34,1.02,1.02,1.02
v6_subv35,10.41,10.41,10.41
v6_subv37,4.03,4.03,4.03
v6_subv39,1.1,1.1,1.1
v6_subv40,6.63,14.41,14.41
v6_subv41,10.3,10.3,10.3
v6_subv42,1.65,1.65,1.65
v6_subv43,10.68,10.68,10.68
v6_subv44,2.65,2.65,2.65
v6_subv45,7.09,7.09,7.09
v6_subv46,1.65,1.65,1.65
v6_subv47,6.29,7.28,8.82
v6_subv48,10.11,10.11,10.11
v6_subv49,3.68,6.06,8.34
v6_subv50,4.45,4.66,4.66
v6_subv51,2.14,2.14,2.14
v6_subv52,2.25,2.25,2.25
v6_subv53,5.49,5.49,5.49
v6_subv54,13.61,13.61,13.61
v6_subv55,5.53,5.53,5.53
v6_subv56,0.63,0.63,0.63
v6_subv57,0.77,0.77,0.77
v6_subv58,2.73,2.73,2.73
v6_subv59,20.19,20.19,20.19
v6_subv60,18.64,18.64,18.64
v6_subv61,4.36,4.36,4.36
v6_subv63,0.04,0.04,0.04
v6_subv64,14.48,14.48,14.48
v6_subv65,2.44,2.44,2.44
v6_subv66,5.83,5.83,5.83
v6_subv67,5.54,5.54,5.54
v6_subv69,9.55,9.55,9.55
v6_subv7,1.92,2.7,2.7
v6_subv70,9.05,9.05,9.05
v6_subv71,9.64,9.64,9.64
v6_subv72,8.61,8.61,8.61
v6_subv73,2.94,2.94,2.94
v6_subv74,5.97,6.64,6.64
v6_subv75,4.97,4.97,4.97
v6_subv76,6.43,6.67,7.03
v6_subv77,2.92,2.92,2.92
v6_subv78,6.01,6.01,6.01
v6_subv8,5.25,5.25,5.25
v6_subv80,1.67,1.67,1.67
v6_subv82,9.87,9.87,9.87
v6_subv84,1.79,1.79,1.79
v6_subv85,3.46,6.43,6.43
v6_subv86,15.54,15.61,15.61
v6_subv87,5.69,5.69,5.69
v6_subv88,6.11,6.29,6.31
v6_subv89,8.34,11.54,11.54
v6_subv9,0.01,0.01,0.01
v6_subv90,9.76,9.76,9.76
v6_subv91,4.71,4.71,4.71
v6_subv92,7.52,7.52,7.52
v6_subv93,7.53,7.53,7.53
v6_subv94,5.51,5.51,5.51
v6_subv95,12.52,12.52,12.52
v6_subv96,9.08,9.08,9.08
v6_subv97,4.91,4.91,4.91
v6_subv98,7.73,7.73,7.73
v6_subv99,5.33,5.33,5.33
