name,branch_iter,branch_perd
v6_subv107,435,11.25
v6_subv108,357,7.63
v6_subv109,119,3.34
v6_subv110,257,5
v6_subv111,175,3.19
v6_subv112,604,17.16
v6_subv113,265,5.44
v6_subv114,394,9.55
v6_subv115,490,12.11
v6_subv116,557,15.1
v6_subv117,570,15.86
v6_subv118,669,18.82
v6_subv119,305,7.1
v6_subv12,418,11.62
v6_subv120,377,9.04
v6_subv121,377,9.04
v6_subv122,107,2.5
v6_subv123,148,3.53
v6_subv124,243,5.57
v6_subv125,572,16.26
v6_subv126,288,6.66
v6_subv127,329,7.98
v6_subv128,116,2.94
v6_subv129,667,20.43
v6_subv13,786,24.66
v6_subv130,394,10.2
v6_subv131,242,6.19
v6_subv132,261,6.95
v6_subv133,119,3.58
v6_subv134,435,20.03
v6_subv135,454,20.56
v6_subv136,259,10.13
v6_subv137,200,7.46
v6_subv138,368,16.21
v6_subv139,211,7.69
v6_subv14,489,13.45
v6_subv140,161,5.13
v6_subv141,580,25.52
v6_subv142,270,10.69
v6_subv143,150,5.55
v6_subv144,698,27.81
v6_subv145,90,3.47
v6_subv146,83,2.37
v6_subv147,466,18
v6_subv148,282,9.86
v6_subv149,413,16.27
v6_subv150,351,12.41
v6_subv151,1,0.06
v6_subv152,304,9.82
v6_subv153,250,8.33
v6_subv154,422,14.25
v6_subv155,312,10.04
v6_subv156,346,11.62
v6_subv157,308,9.9
v6_subv158,568,20.43
v6_subv159,366,11.11
v6_subv16,734,23.01
v6_subv160,526,17.36
v6_subv161,166,3.57
v6_subv162,296,8
v6_subv163,306,7.98
v6_subv164,456,13.84
v6_subv165,486,14.6
v6_subv166,393,11.03
v6_subv167,534,15.57
v6_subv168,490,14.51
v6_subv169,527,16.23
v6_subv17,496,14.64
v6_subv170,417,11.32
v6_subv171,687,19.82
v6_subv172,569,15.61
v6_subv173,294,6.74
v6_subv174,346,8.03
v6_subv175,487,12.25
v6_subv176,568,14.92
v6_subv18,421,12.29
v6_subv19,367,10.08
v6_subv2,357,10.17
v6_subv20,252,6.42
v6_subv21,279,7.06
v6_subv22,279,7.1
v6_subv23,196,3.97
v6_subv24,242,5.17
v6_subv25,377,10.5
v6_subv26,766,24.03
v6_subv27,6,0.07
v6_subv28,365,9.51
v6_subv29,972,31.45
v6_subv30,383,10.85
v6_subv31,255,7.7
v6_subv32,381,11.73
v6_subv33,537,16.59
v6_subv34,11,1.14
v6_subv35,519,15.58
v6_subv37,197,5.07
v6_subv39,68,1.54
v6_subv40,517,15.59
v6_subv41,485,15.1
v6_subv42,100,2.06
v6_subv43,522,16.05
