name,branch_iter,branch_perd
v1_subv1,3.0,1.23
v1_subv2,1.0,0.5
v1_subv3,4.0,1.29
v1_subv4,2.0,0.18
v1_subv5,1.0,0.33
v1_subv6,8.0,0.61
v1_subv7,17.0,2.36
v1_subv8,24.0,2.13
v1_subv9,12.0,1.48
v1_subv10,19.0,1.91
v1_subv11,1.0,0.67
v1_subv12,2.0,0.62
v1_subv13,2.0,0.16
v1_subv15,31.0,5.2
v1_subv16,9.0,1.53
v1_subv17,4.0,0.34
