name,scalar_iter,scalar_perd
v1_subv1,2.0,1.09
v1_subv2, , 
v1_subv3,3.0,1.03
v1_subv4,2.0,0.34
v1_subv5, , 
v1_subv6,6.0,0.57
v1_subv7,7.0,2.99
v1_subv8,17.0,1.06
v1_subv9,8.0,0.68
v1_subv10,15.0,1.2
v1_subv11,1.0,0.63
v1_subv12,2.0,0.6
v1_subv15,20.0,5.99
v1_subv17,4.0,0.69
