space,23_-,5,start
space,23_-,5,fine-grained.preprocess.size,1948780
space,23_-,5,fine-grained.preprocess.time,135081
space,23_-,5,fine-grained.preprocess.number,6766 
space,23_-,5,fine-grained.preprocess.time_p,134778.0
space,23_-,5,fine-grained.mine.size,5816
space,23_-,5,fine-grained.mine.time,99876
space,23_-,5,boost,0.05
space,23_-,5,boost.functions.count,7
space,23_-,5,boost.includes,-sampler-include-method=extremes -sampler-include-method=grwrite -sampler-include-method=intmax -sampler-include-method=intmin -sampler-include-method=mksblock -sampler-include-method=pqlimits -sampler-include-method=simpol
space,23_-,5,boost.preprocess.size,538956
space,23_-,5,boost.preprocess.time,1447
space,23_-,5,boost.preprocess.number,345 
space,23_-,5,boost.preprocess.time_p,1292.0
space,23_-,5,boost.mine.size,5844
space,23_-,5,boost.mine.time,3373
space,23_-,5,theta,0.443928
space,23_-,5,prune.functions.count,61
space,23_-,5,prune.includes,-sampler-include-method=Get1Real -sampler-include-method=GetInt -sampler-include-method=GetKeyword -sampler-include-method=GetReal -sampler-include-method=GetUName -sampler-include-method=InKWords -sampler-include-method=InUNames -sampler-include-method=InserUN -sampler-include-method=TapeGet -sampler-include-method=adddef -sampler-include-method=addscan -sampler-include-method=adremdef -sampler-include-method=ampunit -sampler-include-method=ampval -sampler-include-method=blockdef -sampler-include-method=elemdef -sampler-include-method=emsginit -sampler-include-method=extremes -sampler-include-method=fixgramp -sampler-include-method=fixgrpha -sampler-include-method=fixport -sampler-include-method=fixselem -sampler-include-method=fixsgrel -sampler-include-method=fixsgrid -sampler-include-method=floatsup -sampler-include-method=geomspec -sampler-include-method=grampexc -sampler-include-method=greldef -sampler-include-method=grexcdef -sampler-include-method=grgeodef -sampler-include-method=griddef1 -sampler-include-method=groupdef -sampler-include-method=grphaexc -sampler-include-method=grwrite -sampler-include-method=intmax -sampler-include-method=intmin -sampler-include-method=isletter -sampler-include-method=kwdsinit -sampler-include-method=lenunit -sampler-include-method=main -sampler-include-method=mksblock -sampler-include-method=moseinit -sampler-include-method=nodecoor -sampler-include-method=nodedef -sampler-include-method=nomefile -sampler-include-method=polspec -sampler-include-method=portspec -sampler-include-method=pqlimits -sampler-include-method=prnfile -sampler-include-method=readfil3 -sampler-include-method=recspec -sampler-include-method=remdef -sampler-include-method=simamp -sampler-include-method=simgroup -sampler-include-method=simpha -sampler-include-method=simpol -sampler-include-method=sinelem -sampler-include-method=squgrdef -sampler-include-method=unaminit -sampler-include-method=unifamp -sampler-include-method=unifpha
space,23_-,5,prune.preprocess.size,1696324
space,23_-,5,prune.preprocess.time,48847
space,23_-,5,prune.preprocess.number,3830 
space,23_-,5,prune.preprocess.time_p,48580.0
space,23_-,5,prune.mine.size,5920
space,23_-,5,prune.mine.time,89459
space,23_-,5,boost.profile.time,8683
space,23_-,5,boost.profile.size,6162
# /home/sunzzq2/Data/IResearch/Automated_Bug_Isolation/Twopass_heavy/Subjects/space/versions/v23/v23_b.sites
space,23_-,5,boost.profile.number,4668
space,23_-,5,prune.profile.time,45151
space,23_-,5,prune.profile.size,257514
# /home/sunzzq2/Data/IResearch/Automated_Bug_Isolation/Twopass_heavy/Subjects/space/versions/v23/v23_p.sites
space,23_-,5,prune.profile.number,205674
space,23_-,5,prune-minus-boost.profile.time,43678
space,23_-,5,prune-minus-boost.profile.size,224525
# /home/sunzzq2/Data/IResearch/Automated_Bug_Isolation/Twopass_heavy/Subjects/space/versions/v23/v23_pmb.sites
space,23_-,5,prune-minus-boost.profile.number,178854
space,23_-,5,end
