gzip,1_13,10,start
gzip,1_13,10,fine-grained.preprocess.size,1973580
gzip,1_13,10,fine-grained.preprocess.time,42794
gzip,1_13,10,fine-grained.preprocess.number,590 
gzip,1_13,10,fine-grained.preprocess.time_p,42616.0
gzip,1_13,10,fine-grained.mine.size,5828
gzip,1_13,10,fine-grained.mine.time,1314
gzip,1_13,10,boost,0.05
gzip,1_13,10,boost.functions.count,11
gzip,1_13,10,boost.includes,-sampler-include-method=add_envopt -sampler-include-method=basename -sampler-include-method=do_exit -sampler-include-method=do_stat -sampler-include-method=exchange -sampler-include-method=get_istat -sampler-include-method=getopt_long -sampler-include-method=main -sampler-include-method=reset_times -sampler-include-method=treat_dir -sampler-include-method=treat_file
gzip,1_13,10,boost.preprocess.size,623052
gzip,1_13,10,boost.preprocess.time,3230
gzip,1_13,10,boost.preprocess.number,440 
gzip,1_13,10,boost.preprocess.time_p,3105.0
gzip,1_13,10,boost.mine.size,5828
gzip,1_13,10,boost.mine.time,1640
gzip,1_13,10,theta,0.057940
gzip,1_13,10,prune.functions.count,11
gzip,1_13,10,prune.includes,-sampler-include-method=_getopt_internal -sampler-include-method=add_envopt -sampler-include-method=basename -sampler-include-method=do_exit -sampler-include-method=do_stat -sampler-include-method=get_istat -sampler-include-method=getopt_long -sampler-include-method=main -sampler-include-method=reset_times -sampler-include-method=treat_dir -sampler-include-method=treat_file
gzip,1_13,10,prune.preprocess.size,1122516
gzip,1_13,10,prune.preprocess.time,4521
gzip,1_13,10,prune.preprocess.number,579 
gzip,1_13,10,prune.preprocess.time_p,4387.0
gzip,1_13,10,prune.mine.size,5820
gzip,1_13,10,prune.mine.time,1816
gzip,1_13,10,boost.profile.time,19803
gzip,1_13,10,boost.profile.size,44842
# /home/sunzzq2/Data/IResearch/Automated_Bug_Isolation/Twopass_heavy/Subjects/gzip/versions/v1/subv13/v1_subv13_b.sites
gzip,1_13,10,boost.profile.number,215050
gzip,1_13,10,prune.profile.time,21161
gzip,1_13,10,prune.profile.size,68725
# /home/sunzzq2/Data/IResearch/Automated_Bug_Isolation/Twopass_heavy/Subjects/gzip/versions/v1/subv13/v1_subv13_p.sites
gzip,1_13,10,prune.profile.number,329706
gzip,1_13,10,prune-minus-boost.profile.time,16980
gzip,1_13,10,prune-minus-boost.profile.size,25977
# /home/sunzzq2/Data/IResearch/Automated_Bug_Isolation/Twopass_heavy/Subjects/gzip/versions/v1/subv13/v1_subv13_pmb.sites
gzip,1_13,10,prune-minus-boost.profile.number,124388
gzip,1_13,10,end
