space,36_-,5,start
space,36_-,5,fine-grained.preprocess.size,1824428
space,36_-,5,fine-grained.preprocess.time,38075
space,36_-,5,fine-grained.preprocess.number,470 
space,36_-,5,fine-grained.preprocess.time_p,37798.0
space,36_-,5,fine-grained.mine.size,5948
space,36_-,5,fine-grained.mine.time,1723
space,36_-,5,boost,0.05
space,36_-,5,boost.functions.count,10
space,36_-,5,boost.includes,-sampler-include-method=GetKeyword -sampler-include-method=GetUName -sampler-include-method=TapeGet -sampler-include-method=floatsup -sampler-include-method=groupdef -sampler-include-method=isletter -sampler-include-method=nomefile -sampler-include-method=parserro -sampler-include-method=prnfile -sampler-include-method=unaminit
space,36_-,5,boost.preprocess.size,269724
space,36_-,5,boost.preprocess.time,1131
space,36_-,5,boost.preprocess.number,92 
space,36_-,5,boost.preprocess.time_p,1010.0
space,36_-,5,boost.mine.size,5792
space,36_-,5,boost.mine.time,1476
space,36_-,5,theta,0.135693
space,36_-,5,prune.functions.count,15
space,36_-,5,prune.includes,-sampler-include-method=GetKeyword -sampler-include-method=GetUName -sampler-include-method=TapeGet -sampler-include-method=emsginit -sampler-include-method=floatsup -sampler-include-method=groupdef -sampler-include-method=isletter -sampler-include-method=kwdsinit -sampler-include-method=main -sampler-include-method=moseinit -sampler-include-method=nomefile -sampler-include-method=parserro -sampler-include-method=prnfile -sampler-include-method=readfil3 -sampler-include-method=unaminit
space,36_-,5,prune.preprocess.size,1153316
space,36_-,5,prune.preprocess.time,4294
space,36_-,5,prune.preprocess.number,470 
space,36_-,5,prune.preprocess.time_p,4065.0000000000005
space,36_-,5,prune.mine.size,5796
space,36_-,5,prune.mine.time,4072
space,36_-,5,boost.profile.time,13577
space,36_-,5,boost.profile.size,8131
# /home/sunzzq2/Data/IResearch/Automated_Bug_Isolation/Twopass_heavy/Subjects/space/versions/v36/v36_b.sites
space,36_-,5,boost.profile.number,5750
space,36_-,5,prune.profile.time,21588
space,36_-,5,prune.profile.size,55743
# /home/sunzzq2/Data/IResearch/Automated_Bug_Isolation/Twopass_heavy/Subjects/space/versions/v36/v36_p.sites
space,36_-,5,prune.profile.number,41542
space,36_-,5,prune-minus-boost.profile.time,15844
space,36_-,5,prune-minus-boost.profile.size,25719
# /home/sunzzq2/Data/IResearch/Automated_Bug_Isolation/Twopass_heavy/Subjects/space/versions/v36/v36_pmb.sites
space,36_-,5,prune-minus-boost.profile.number,19034
space,36_-,5,end
