gzip,1_15,10,start
gzip,1_15,10,fine-grained.preprocess.size,2688592
gzip,1_15,10,fine-grained.preprocess.time,86747
gzip,1_15,10,fine-grained.preprocess.number,27607 
gzip,1_15,10,fine-grained.preprocess.time_p,86427.0
gzip,1_15,10,fine-grained.mine.size,5792
gzip,1_15,10,fine-grained.mine.time,67664
gzip,1_15,10,boost,0.05
gzip,1_15,10,boost.functions.count,5
gzip,1_15,10,boost.includes,-sampler-include-method=ct_tally -sampler-include-method=fill_window -sampler-include-method=longest_match -sampler-include-method=send_all_trees -sampler-include-method=updcrc
gzip,1_15,10,boost.preprocess.size,1120444
gzip,1_15,10,boost.preprocess.time,3345
gzip,1_15,10,boost.preprocess.number,4290 
gzip,1_15,10,boost.preprocess.time_p,3182.0
gzip,1_15,10,boost.mine.size,5796
gzip,1_15,10,boost.mine.time,1718
gzip,1_15,10,theta,0.173492
gzip,1_15,10,prune.functions.count,34
gzip,1_15,10,prune.includes,-sampler-include-method=_getopt_internal -sampler-include-method=add_envopt -sampler-include-method=basename -sampler-include-method=bi_init -sampler-include-method=bi_reverse -sampler-include-method=bi_windup -sampler-include-method=build_bl_tree -sampler-include-method=build_tree -sampler-include-method=clear_bufs -sampler-include-method=compress_block -sampler-include-method=ct_init -sampler-include-method=ct_tally -sampler-include-method=deflate -sampler-include-method=do_exit -sampler-include-method=file_read -sampler-include-method=fill_window -sampler-include-method=flush_block -sampler-include-method=flush_outbuf -sampler-include-method=gen_bitlen -sampler-include-method=gen_codes -sampler-include-method=getopt_long -sampler-include-method=init_block -sampler-include-method=lm_init -sampler-include-method=longest_match -sampler-include-method=main -sampler-include-method=pqdownheap -sampler-include-method=scan_tree -sampler-include-method=send_all_trees -sampler-include-method=send_bits -sampler-include-method=send_tree -sampler-include-method=treat_stdin -sampler-include-method=updcrc -sampler-include-method=write_buf -sampler-include-method=zip
gzip,1_15,10,prune.preprocess.size,1783656
gzip,1_15,10,prune.preprocess.time,58691
gzip,1_15,10,prune.preprocess.number,26767 
gzip,1_15,10,prune.preprocess.time_p,58445.0
gzip,1_15,10,prune.mine.size,5800
gzip,1_15,10,prune.mine.time,62976
gzip,1_15,10,boost.profile.time,386547
gzip,1_15,10,boost.profile.size,44726
# /home/sunzzq2/Data/IResearch/Automated_Bug_Isolation/Twopass_heavy/Subjects/gzip/versions/v1/subv15/v1_subv15_b.sites
gzip,1_15,10,boost.profile.number,169470
gzip,1_15,10,prune.profile.time,618481
gzip,1_15,10,prune.profile.size,353218
# /home/sunzzq2/Data/IResearch/Automated_Bug_Isolation/Twopass_heavy/Subjects/gzip/versions/v1/subv15/v1_subv15_p.sites
gzip,1_15,10,prune.profile.number,1493474
gzip,1_15,10,prune-minus-boost.profile.time,224571
gzip,1_15,10,prune-minus-boost.profile.size,307496
# /home/sunzzq2/Data/IResearch/Automated_Bug_Isolation/Twopass_heavy/Subjects/gzip/versions/v1/subv15/v1_subv15_pmb.sites
gzip,1_15,10,prune-minus-boost.profile.number,1319654
gzip,1_15,10,end
