gzip,5_13,1,start
gzip,5_13,1,coarse-grained.profile.time,13536
gzip,5_13,1,coarse-grained.profile.size,80
# /home/sunzzq2/Data/IResearch/Automated_Bug_Isolation/Twopass_heavy/Subjects/gzip/versions/v5/subv13/v5_subv13_c.sites
gzip,5_13,1,coarse-grained.profile.number,97
gzip,5_13,1,fine-grained.profile.time,661049
gzip,5_13,1,fine-grained.profile.size,877598
# /home/sunzzq2/Data/IResearch/Automated_Bug_Isolation/Twopass_heavy/Subjects/gzip/versions/v5/subv13/v5_subv13_f.sites
gzip,5_13,1,fine-grained.profile.number,4005694
gzip,5_13,1,fine-grained.preprocess.size,2870340
gzip,5_13,1,fine-grained.preprocess.time,107532
gzip,5_13,1,fine-grained.preprocess.number,32277 
gzip,5_13,1,fine-grained.preprocess.time_p,107142.0
gzip,5_13,1,fine-grained.mine.size,5808
gzip,5_13,1,fine-grained.mine.time,854355
gzip,5_13,1,boost,0.05
gzip,5_13,1,boost.functions.count,16
gzip,5_13,1,boost.includes,-sampler-include-method=check_ofname -sampler-include-method=copy_stat -sampler-include-method=create_outfile -sampler-include-method=do_stat -sampler-include-method=get_istat -sampler-include-method=get_suffix -sampler-include-method=make_ofname -sampler-include-method=name_too_long -sampler-include-method=progerror -sampler-include-method=reset_times -sampler-include-method=send_all_trees -sampler-include-method=send_tree -sampler-include-method=strlwr -sampler-include-method=treat_dir -sampler-include-method=treat_file -sampler-include-method=xunlink
gzip,5_13,1,boost.preprocess.size,1121744
gzip,5_13,1,boost.preprocess.time,3839
gzip,5_13,1,boost.preprocess.number,1237 
gzip,5_13,1,boost.preprocess.time_p,3654.0
gzip,5_13,1,boost.mine.size,5880
gzip,5_13,1,boost.mine.time,3580
gzip,5_13,1,theta,0.106792
gzip,5_13,1,prune.functions.count,46
gzip,5_13,1,prune.includes,-sampler-include-method=add_envopt -sampler-include-method=base_name -sampler-include-method=bi_init -sampler-include-method=bi_reverse -sampler-include-method=bi_windup -sampler-include-method=build_bl_tree -sampler-include-method=build_tree -sampler-include-method=check_ofname -sampler-include-method=clear_bufs -sampler-include-method=compress_block -sampler-include-method=copy_stat -sampler-include-method=create_outfile -sampler-include-method=ct_init -sampler-include-method=ct_tally -sampler-include-method=deflate -sampler-include-method=do_exit -sampler-include-method=do_stat -sampler-include-method=file_read -sampler-include-method=fill_window -sampler-include-method=flush_block -sampler-include-method=flush_outbuf -sampler-include-method=gen_bitlen -sampler-include-method=gen_codes -sampler-include-method=get_istat -sampler-include-method=get_suffix -sampler-include-method=init_block -sampler-include-method=input_eof -sampler-include-method=lm_init -sampler-include-method=longest_match -sampler-include-method=main -sampler-include-method=make_ofname -sampler-include-method=name_too_long -sampler-include-method=pqdownheap -sampler-include-method=progerror -sampler-include-method=reset_times -sampler-include-method=scan_tree -sampler-include-method=send_all_trees -sampler-include-method=send_bits -sampler-include-method=send_tree -sampler-include-method=strlwr -sampler-include-method=treat_dir -sampler-include-method=treat_file -sampler-include-method=updcrc -sampler-include-method=write_buf -sampler-include-method=xunlink -sampler-include-method=zip
gzip,5_13,1,prune.preprocess.size,1858324
gzip,5_13,1,prune.preprocess.time,76851
gzip,5_13,1,prune.preprocess.number,31949 
gzip,5_13,1,prune.preprocess.time_p,76596.0
gzip,5_13,1,prune.mine.size,5792
gzip,5_13,1,prune.mine.time,837595
gzip,5_13,1,boost.profile.time,21213
gzip,5_13,1,boost.profile.size,56789
# /home/sunzzq2/Data/IResearch/Automated_Bug_Isolation/Twopass_heavy/Subjects/gzip/versions/v5/subv13/v5_subv13_b.sites
gzip,5_13,1,boost.profile.number,261598
gzip,5_13,1,prune.profile.time,590221
gzip,5_13,1,prune.profile.size,364678
# /home/sunzzq2/Data/IResearch/Automated_Bug_Isolation/Twopass_heavy/Subjects/gzip/versions/v5/subv13/v5_subv13_p.sites
gzip,5_13,1,prune.profile.number,1560332
gzip,5_13,1,prune-minus-boost.profile.time,576048
gzip,5_13,1,prune-minus-boost.profile.size,306241
# /home/sunzzq2/Data/IResearch/Automated_Bug_Isolation/Twopass_heavy/Subjects/gzip/versions/v5/subv13/v5_subv13_pmb.sites
gzip,5_13,1,prune-minus-boost.profile.number,1291204
gzip,5_13,1,end
