space,35_-,10,start
space,35_-,10,fine-grained.preprocess.size,1915032
space,35_-,10,fine-grained.preprocess.time,79492
space,35_-,10,fine-grained.preprocess.number,3947 
space,35_-,10,fine-grained.preprocess.time_p,79242.0
space,35_-,10,fine-grained.mine.size,5824
space,35_-,10,fine-grained.mine.time,48186
space,35_-,10,boost,0.05
space,35_-,10,boost.functions.count,5
space,35_-,10,boost.includes,-sampler-include-method=fixnodor -sampler-include-method=mksnode -sampler-include-method=nodorien -sampler-include-method=secoramp -sampler-include-method=sgramp2n
space,35_-,10,boost.preprocess.size,316728
space,35_-,10,boost.preprocess.time,1417
space,35_-,10,boost.preprocess.number,238 
space,35_-,10,boost.preprocess.time_p,1307.0
space,35_-,10,boost.mine.size,5864
space,35_-,10,boost.mine.time,2076
space,35_-,10,theta,0.192619
space,35_-,10,prune.functions.count,63
space,35_-,10,prune.includes,-sampler-include-method=Get1Real -sampler-include-method=GetInt -sampler-include-method=GetKeyword -sampler-include-method=GetReal -sampler-include-method=GetUName -sampler-include-method=InKWords -sampler-include-method=InUNames -sampler-include-method=InserUN -sampler-include-method=TapeGet -sampler-include-method=adddef -sampler-include-method=addscan -sampler-include-method=adremdef -sampler-include-method=ampunit -sampler-include-method=ampval -sampler-include-method=angunit -sampler-include-method=angval -sampler-include-method=circspec -sampler-include-method=elemdef -sampler-include-method=emsginit -sampler-include-method=fixgramp -sampler-include-method=fixnodor -sampler-include-method=fixport -sampler-include-method=fixselem -sampler-include-method=fixsgrel -sampler-include-method=fixsgrid -sampler-include-method=floatsup -sampler-include-method=geomspec -sampler-include-method=grampexc -sampler-include-method=greldef -sampler-include-method=grexcdef -sampler-include-method=grgeodef -sampler-include-method=griddef1 -sampler-include-method=groupdef -sampler-include-method=grphaexc -sampler-include-method=hexgrdef -sampler-include-method=isletter -sampler-include-method=kwdsinit -sampler-include-method=lenunit -sampler-include-method=main -sampler-include-method=mksnode -sampler-include-method=moseinit -sampler-include-method=nodecoor -sampler-include-method=nodedef -sampler-include-method=nodorien -sampler-include-method=nomefile -sampler-include-method=polspec -sampler-include-method=portspec -sampler-include-method=prnfile -sampler-include-method=readfil3 -sampler-include-method=recgrdef -sampler-include-method=recspec -sampler-include-method=remdef -sampler-include-method=secoramp -sampler-include-method=secorpha -sampler-include-method=sgramp2n -sampler-include-method=simamp -sampler-include-method=simgroup -sampler-include-method=sinelem -sampler-include-method=sinstep -sampler-include-method=squgrdef -sampler-include-method=unaminit -sampler-include-method=unifamp -sampler-include-method=unifpha
space,35_-,10,prune.preprocess.size,1770892
space,35_-,10,prune.preprocess.time,42969
space,35_-,10,prune.preprocess.number,3483 
space,35_-,10,prune.preprocess.time_p,42648.0
space,35_-,10,prune.mine.size,5840
space,35_-,10,prune.mine.time,46509
space,35_-,10,boost.profile.time,13804
space,35_-,10,boost.profile.size,11558
# /home/sunzzq2/Data/IResearch/Automated_Bug_Isolation/Twopass_heavy/Subjects/space/versions/v35/v35_b.sites
space,35_-,10,boost.profile.number,9082
space,35_-,10,prune.profile.time,52466
space,35_-,10,prune.profile.size,292697
# /home/sunzzq2/Data/IResearch/Automated_Bug_Isolation/Twopass_heavy/Subjects/space/versions/v35/v35_p.sites
space,35_-,10,prune.profile.number,234638
space,35_-,10,prune-minus-boost.profile.time,48717
space,35_-,10,prune-minus-boost.profile.size,254458
# /home/sunzzq2/Data/IResearch/Automated_Bug_Isolation/Twopass_heavy/Subjects/space/versions/v35/v35_pmb.sites
space,35_-,10,prune-minus-boost.profile.number,203338
space,35_-,10,end
