pid,top-k,percent4_2
space,top-1,0.9166717196949349
space,top-5,0.9282813507330686
space,top-10,0.9364074208293385
sed,top-1,0.7695192291687355
sed,top-5,1.0002889877713133
sed,top-10,0.9951560400983045
gzip,top-1,0.7870303483493926
gzip,top-5,0.9454420807798697
gzip,top-10,0.9563426964191369
grep,top-1,0.8774526248504563
grep,top-5,0.9252972136606883
grep,top-10,0.9198651604373748
bash,top-1,0.8050642093324342
bash,top-5,0.8977662205249145
bash,top-10,0.9023047209638116
nanoxml,top-1,0.9698424177181578
nanoxml,top-5,0.9860441437509755
nanoxml,top-10,0.9919587628953694
siena,top-1,1.0063829787234042
siena,top-5,0.9830747531734838
siena,top-10,1.0
ant,top-1,0.76270450557881
ant,top-5,0.772491661856893
ant,top-10,0.768294740257668
derby,top-1,0.9336012058682364
derby,top-5,0.9321701075637892
derby,top-10,0.9271477764128053
lang,top-1,0.6699709870693389
lang,top-5,0.7126935244774043
lang,top-10,0.7711936429452904
chart,top-1,0.5852669625678879
chart,top-5,0.5744282698126927
chart,top-10,0.6997553851844276
math,top-1,0.8930761893614746
math,top-5,0.9480288876263085
math,top-10,0.9710541337637706
time,top-1,0.5171011608703268
time,top-5,0.738664707400718
time,top-10,0.8265263597355316
mockito,top-1,0.9165695107388611
mockito,top-5,0.9471370668512885
mockito,top-10,0.8724734707875772
closure,top-1,0.7841815495029906
closure,top-5,0.8246008336240558
closure,top-10,0.8243156058291456
