name,predicates,top-1,top-5,top-10,top1-num,top5-num,top10-num,subject
v6_subv87,177566,5.69,5.69,5.69,10103.5054,10103.5054,10103.5054,6
v6_subv88,177430,6.11,6.29,6.31,10840.973,11160.347,11195.833,6
v6_subv89,176358,8.34,11.54,11.54,14708.2572,20351.7132,20351.7132,6
v6_subv9,212554,0.01,0.01,0.01,21.2554,21.2554,21.2554,6
v6_subv90,177148,9.76,9.76,9.76,17289.6448,17289.6448,17289.6448,6
v6_subv91,177070,4.71,4.71,4.71,8339.997,8339.997,8339.997,6
v6_subv92,176820,7.52,7.52,7.52,13296.864,13296.864,13296.864,6
v6_subv93,176612,7.53,7.53,7.53,13298.8836,13298.8836,13298.8836,6
v6_subv94,176336,5.51,5.51,5.51,9716.1136,9716.1136,9716.1136,6
v6_subv95,170148,12.52,12.52,12.52,21302.5296,21302.5296,21302.5296,6
v6_subv96,176614,9.08,9.08,9.08,16036.5512,16036.5512,16036.5512,6
v6_subv97,165344,4.91,4.91,4.91,8118.3904,8118.3904,8118.3904,6
v6_subv98,148058,7.73,7.73,7.73,11444.8834,11444.8834,11444.8834,6
v6_subv99,148040,5.33,5.33,5.33,7890.532,7890.532,7890.532,6
v8_subv1,203588,8.39,13.9,13.9,17081.0332,28298.732,28298.732,8
v8_subv2,203588,8.74,15.56,15.56,17793.5912,31678.2928,31678.2928,8
v8_subv3,203588,13.71,13.71,13.71,27911.9148,27911.9148,27911.9148,8
v8_subv4,203540,15,15,15,30531,30531,30531,8
v9_subv1,928576,33.36,33.36,33.36,309772.9536,309772.9536,309772.9536,9
v9_subv2,928576,32.55,32.55,32.55,302251.488,302251.488,302251.488,9
v9_subv3,928570,31.87,31.87,31.87,295935.259,295935.259,295935.259,9
v9_subv4,928576,29.13,29.13,29.13,270494.1888,270494.1888,270494.1888,9
v9_subv5,928522,30.09,30.09,30.09,279392.2698,279392.2698,279392.2698,9
v9_subv6,928576,28.95,28.95,28.95,268822.752,268822.752,268822.752,9
v10_subv8,1389978,13.21,23.79,26.29,183616.0938,330675.7662,365425.2162,10
v10_subv30,1389948,17.39,19.69,21.51,241711.9572,273680.7612,298977.8148,10
v10_subv61,1390002,17.17,18.59,18.65,238663.3434,258401.3718,259235.373,10
v11_subv11,208436,31.16,31.16,31.2,64948.6576,64948.6576,65032.032,11
v11_subv2,234522,6.96,47.63,47.63,16322.7312,111702.8286,111702.8286,11
v11_subv12,234522,35.9,35.94,35.94,84193.398,84287.2068,84287.2068,11
v11_subv10,232506,29.32,29.36,29.36,68170.7592,68263.7616,68263.7616,11
v11_subv12,232506,36.2,36.25,36.25,84167.172,84283.425,84283.425,11
v12_subv4,170518,47.5,47.5,47.5,80996.05,80996.05,80996.05,12
v12_subv5,170518,16.7,16.7,17.83,28476.506,28476.506,30403.3594,12
v12_subv13,170518,13.7,13.99,13.99,23360.966,23855.4682,23855.4682,12
v12_subv15,170518,10.71,10.85,46.63,18262.4778,18501.203,79512.5434,12
v12_subv16,170616,14.47,15.2,19.21,24688.1352,25933.632,32775.3336,12
v12_subv1,212154,40.58,41.24,41.24,86092.0932,87492.3096,87492.3096,12
v12_subv3,212154,46.45,46.45,47.31,98545.533,98545.533,100370.0574,12
v12_subv6,212154,42.1,42.1,42.1,89316.834,89316.834,89316.834,12
v12_subv6,163780,,30.99,30.99,0,50755.422,50755.422,12
v12_subv1,171640,34.5,35.5,35.5,59215.8,60932.2,60932.2,12
v12_subv6,171656,31.23,31.23,32.43,53608.1688,53608.1688,55668.0408,12
v12_subv7,171640,42.63,42.63,42.63,73170.132,73170.132,73170.132,12
v12_subv13,171640,44.17,44.17,44.17,75813.388,75813.388,75813.388,12
v13,4234,25.04,25.04,25.46,1060.1936,1060.1936,1077.9764,13
v13,4236,69.03,69.03,69.03,2924.1108,2924.1108,2924.1108,13
v13,4236,69.03,69.03,69.5,2924.1108,2924.1108,2944.02,13
v13,4230,26.05,61.84,61.84,1101.915,2615.832,2615.832,13
v13,4236,62.37,62.37,62.37,2641.9932,2641.9932,2641.9932,13
v13,5058,16.21,25.27,27.09,819.9018,1278.1566,1370.2122,13
v13,5058,20.01,69.83,69.83,1012.1058,3532.0014,3532.0014,13
v13,5058,19.81,19.81,19.81,1001.9898,1001.9898,1001.9898,13
v13,5058,3.95,25.43,25.74,199.791,1286.2494,1301.9292,13
v13,5058,71.29,71.29,71.29,3605.8482,3605.8482,3605.8482,13
v13,6048,18.49,65.41,65.41,1118.2752,3955.9968,3955.9968,13
v13,6050,27.74,65.39,65.39,1678.27,3956.095,3956.095,13
v13,6048,25.73,65.41,65.41,1556.1504,3955.9968,3955.9968,13
v13,6050,57.52,60.17,60.17,3479.96,3640.285,3640.285,13
v13,6050,27.74,65.39,65.39,1678.27,3956.095,3956.095,13
v13,6050,3.67,23.8,24.23,222.035,1439.9,1465.915,13
v13,5012,48.76,48.76,48.76,2443.8512,2443.8512,2443.8512,13
v13,5012,48.52,48.52,48.52,2431.8224,2431.8224,2431.8224,13
v13,5010,13.77,23.23,23.99,689.877,1163.823,1201.899,13
v13,5012,48.52,48.52,48.52,2431.8224,2431.8224,2431.8224,13
v13,5006,48.46,48.46,48.46,2425.9076,2425.9076,2425.9076,13
v13,5012,48.52,48.52,48.52,2431.8224,2431.8224,2431.8224,13
v14,109892,8.1,8.1,54.88,8901.252,8901.252,60308.7296,14
v14,98346,3.56,3.56,3.56,3501.1176,3501.1176,3501.1176,14
v14,98346,61.23,92.79,92.79,60217.2558,91255.2534,91255.2534,14
v14,98346,89.1,91.01,91.01,87626.286,89504.6946,89504.6946,14
v15,19460,20,31.43,31.43,3892,6116.278,6116.278,15
v16,25472,19.49,19.49,19.49,4964.4928,4964.4928,4964.4928,16
v16,25472,26.38,26.38,26.38,6719.5136,6719.5136,6719.5136,16
v16,25472,16.56,17.33,19.79,4218.1632,4414.2976,5040.9088,16
v16,25472,16.4,16.4,16.4,4177.408,4177.408,4177.408,16
v16,25450,52.7,60.15,60.15,13412.15,15308.175,15308.175,16
v16,25450,52.31,58.05,58.72,13312.895,14773.725,14944.24,16
v16,25454,51.42,51.93,52.39,13088.4468,13218.2622,13335.3506,16
v16,25454,52.22,56.46,56.69,13292.0788,14371.3284,14429.8726,16
v16,25454,52.45,56.86,63.22,13350.623,14473.1444,16092.0188,16
v16,25454,51.95,58.12,60.18,13223.353,14793.8648,15318.2172,16
v16,25454,45.79,50.74,63.14,11655.3866,12915.3596,16071.6556,16
v16,25436,36.21,41.62,42.1,9210.3756,10586.4632,10708.556,16
v16,25436,36.88,39.02,39.02,9380.7968,9925.1272,9925.1272,16
v16,25454,51.24,52.47,53.36,13042.6296,13355.7138,13582.2544,16
v16,25454,52.7,59.44,76.24,13414.258,15129.8576,19406.1296,16
v16,25454,51.95,58.12,60.18,13223.353,14793.8648,15318.2172,16
v16,25456,54.75,63.97,70.99,13937.16,16284.2032,18071.2144,16
v16,25454,54.72,56.35,57.08,13928.4288,14343.329,14529.1432,16
v16,25454,54.72,56.35,57.08,13928.4288,14343.329,14529.1432,16
v16,25254,64.29,78.13,78.28,16235.7966,19730.9502,19768.8312,16
v16,25454,51.46,62.78,79.73,13098.6284,15980.0212,20294.4742,16
v16,25430,71.92,71.92,71.92,18289.256,18289.256,18289.256,16
v16,25430,47.18,47.64,50,11997.874,12114.852,12715,16
v16,25478,31.09,31.09,32.91,7921.1102,7921.1102,8384.8098,16
v16,25454,89.18,89.18,89.18,22699.8772,22699.8772,22699.8772,16
v16,25472,43.88,43.88,44.19,11177.1136,11177.1136,11256.0768,16
v16,25454,34.71,44.1,52.1,8835.0834,11225.214,13261.534,16
v16,25466,27.99,27.99,27.99,7127.9334,7127.9334,7127.9334,16
v16,25454,17.92,17.92,17.92,4561.3568,4561.3568,4561.3568,16
v16,25454,75.32,77.19,77.19,19171.9528,19647.9426,19647.9426,16
v16,25438,53.1,58.35,61.25,13507.578,14843.073,15580.775,16
v16,25454,11.9,11.9,11.9,3029.026,3029.026,3029.026,16
v16,25448,43.98,49.28,58.06,11192.0304,12540.7744,14775.1088,16
v16,25454,45.35,62.17,62.17,11543.389,15824.7518,15824.7518,16
