Java/apache-ant,,
adaptive,outputs,
707614,704435,1.00451283652857
690065,693205,0.99547031541896
693574,697338,0.994602330577138
712300,696180,1.02315493119596
,,
,,
,,
,,
,,
end,,
,,
Java/derby,,
adaptive,outputs,
1335612,1586042,0.842103803051874
1152058,1120309,1.02833950276218
2409326,2564018,0.939668130254936
,,
,,
,,
,,
end,,
,,
C/grep,,
adaptive,outputs,
5913,5330,1.1093808630394
8649,5197,1.66422936309409
6721,5238,1.28312332951508
6480,5403,1.19933370349806
,,
,,
,,
,,
,,
,,
end,,
,,
,,
C/gzip,,
adaptive,outputs,
13962,13499,1.03429883695089
14278,13345,1.06991382540277
13928,13385,1.04056779977587
14530,13463,1.07925425239545
13371,13087,1.02170092458165
13713,12906,1.06252905625291
13919,13368,1.04121783363256
14359,12946,1.10914568206396
14462,13308,1.08671475804028
13788,13510,1.02057735011103
14520,13024,1.11486486486487
13830,14152,0.977247032221594
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
end,,
,,
Java/nanoxml,,
adaptive,outputs,
55561,45142,1.2308050152851
55498,45078,1.23115488708461
55343,45693,1.21119208631519
57542,44045,1.30643659893291
59369,46470,1.27757693135356
57326,47480,1.20737152485257
55395,44789,1.23679921409275
56142,49079,1.14391083762913
55247,46825,1.17986118526428
58262,47591,1.22422306738669
56083,45145,1.24228596743825
59039,49466,1.19352686693891
59996,44738,1.34105234923331
59620,48797,1.22179642191118
56460,48544,1.16306855636124
56426,45443,1.2416873885967
56163,48294,1.16293949558951
59155,48039,1.23139532463207
58497,46915,1.24687200255782
56548,47765,1.18387940960955
58621,52439,1.11788935715784
56550,52871,1.06958446029014
,end,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
C/sed,,
adaptive,outputs,
2934,2686,1.09233060312733
3607,2525,1.42851485148515
3286,1985,1.65541561712846
3760,2436,1.54351395730706
,,
,,
,,
,,
,,
end,,
,,
Java/siena,,
adaptive,outputs,
-12968882,-12968434,1.00003454542006
-12967629,-12967052,1.00004449739231
-12967738,-12967786,0.99999629852004
,end,
,,
,,
,,
,,
,,
C/space,,
adaptive,outputs,
8469,6155,1.37595450852965
8304,6450,1.28744186046512
8266,6006,1.37629037629038
8201,6892,1.18993035403366
7498,5596,1.33988563259471
7855,6580,1.19376899696049
8631,6946,1.24258566081198
7964,6016,1.32380319148936
8692,6600,1.3169696969697
8019,6674,1.20152831884927
8202,6821,1.20246298196745
8043,5832,1.37911522633745
8297,6646,1.24842010231718
8975,5996,1.49683122081388
8609,6539,1.31656216546873
22025,21560,1.02156771799629
12936,11994,1.07853926963482
8100,7170,1.12970711297071
7526,5836,1.28958190541467
7683,5848,1.31378248974008
47477,46561,1.01967311698632
8491,6861,1.23757469756595
7963,6104,1.30455439056356
11110,11506,0.965583173996176
10122,10261,0.986453562030991
7816,6414,1.2185843467415
9661,7774,1.24273218420376
7918,6405,1.23622170179547
7888,5998,1.31510503501167
8010,6294,1.27264061010486
7260,6177,1.17532782904323
8303,6706,1.23814494482553
7783,6439,1.20872806336388
8769,6547,1.33939208797923
,end,
