1,39,1,start
1,39,1,raw.profile.time,19806
1,39,1,coarse-grained.profile.time,29844
1,39,1,coarse-grained.profile.number,2038
1,39,1,coarse-grained.profile.size,13248
1,39,1,fine-grained.profile.time,283606
1,39,1,fine-grained.profile.size,155636
1,39,1,fine-grained.profile.number,14646
1,39,1,fine-grained.preprocess.size,16038656
1,39,1,fine-grained.preprocess.time,42005
1,39,1,fine-grained.preprocess.number,659
1,39,1,fine-grained.preprocess.time_p,40604.0
1,39,1,fine-grained.mine.size,25488
1,39,1,fine-grained.mine.time,46
1,39,1,boost.includes,-sampler-include-method=-org.apache.commons.lang3.StringUtils--java.lang.String-replaceEach-java.lang.String,java.lang.String[],java.lang.String[],boolean,int--
1,39,1,boost.profile.number,473
1,39,1,boost.profile.time,30542
1,39,1,boost.profile.size,6776
1,39,1,boost.preprocess.size,2416864
1,39,1,boost.preprocess.time,6215
1,39,1,boost.preprocess.number,659
1,39,1,boost.preprocess.time_p,5406.0
1,39,1,boost.mine.size,26096
1,39,1,boost.mine.time,113
1,39,1,prune.theta,0.007480
1,39,1,prune.includes,
1,39,1,prune.includes_diff,
1,39,1,end
