3,23,5,start
3,23,5,raw.profile.time,355
3,23,5,coarse-grained.profile.time,698
3,23,5,coarse-grained.profile.number,6043
3,23,5,coarse-grained.profile.size,344
3,23,5,fine-grained.profile.time,5406
3,23,5,fine-grained.profile.size,22040
3,23,5,fine-grained.profile.number,191190
3,23,5,fine-grained.preprocess.size,5045920
3,23,5,fine-grained.preprocess.time,13244
3,23,5,fine-grained.preprocess.number,2442
3,23,5,fine-grained.preprocess.time_p,12248.0
3,23,5,fine-grained.mine.size,135696
3,23,5,fine-grained.mine.time,7096
3,23,5,boost.includes,-sampler-include-method=-org.apache.commons.math3.util.MathArrays-2--void--clinit---- -sampler-include-method=-org.apache.commons.math3.analysis.FunctionUtils-4--double-value-double-- -sampler-include-method=-org.apache.commons.math3.analysis.function.StepFunction--double-value-double--
3,23,5,boost.profile.number,14
3,23,5,boost.profile.time,562
3,23,5,boost.profile.size,72
3,23,5,boost.preprocess.size,149440
3,23,5,boost.preprocess.time,1209
3,23,5,boost.preprocess.number,25
3,23,5,boost.preprocess.time_p,396.0
3,23,5,boost.mine.size,19312
3,23,5,boost.mine.time,74
3,23,5,prune.theta,0.205110
3,23,5,prune.includes,-sampler-include-method=-org.apache.commons.math3.util.MathArrays-2--void--clinit---- -sampler-include-method=-org.apache.commons.math3.analysis.FunctionUtils-4--double-value-double-- -sampler-include-method=-org.apache.commons.math3.analysis.function.StepFunction--double-value-double-- -sampler-include-method=-org.apache.commons.math3.analysis.function.StepFunction--void--init--double[],double[]-- -sampler-include-method=-org.apache.commons.math3.util.MathArrays--boolean-checkOrder-double[],org.apache.commons.math3.util.MathArrays-OrderDirection,boolean,boolean-- -sampler-include-method=-org.apache.commons.math3.analysis.function.Sin--double-value-double-- -sampler-include-method=-org.apache.commons.math3.util.MathArrays--double[]-copyOf-double[],int-- -sampler-include-method=-org.apache.commons.math3.util.FastMath--int-min-int,int-- -sampler-include-method=-org.apache.commons.math3.util.FastMath--double-cosQ-double,double-- -sampler-include-method=-org.apache.commons.math3.util.FastMath--double-polyCosine-double-- -sampler-include-method=-org.apache.commons.math3.util.FastMath--double-polySine-double-- -sampler-include-method=-org.apache.commons.math3.util.FastMath--double-sin-double-- -sampler-include-method=-org.apache.commons.math3.util.FastMath-CodyWaite--void--init--double,double-- -sampler-include-method=-org.apache.commons.math3.util.FastMath--double-sinQ-double,double-- -sampler-include-method=-org.apache.commons.math3.optimization.univariate.BaseAbstractUnivariateOptimizer--int-getEvaluations--- -sampler-include-method=-org.apache.commons.math3.util.Precision--boolean-equals-double,double-- -sampler-include-method=-org.apache.commons.math3.util.FastMath--long-abs-long-- -sampler-include-method=-org.apache.commons.math3.util.FastMath--double-abs-double-- -sampler-include-method=-org.apache.commons.math3.optimization.univariate.BrentOptimizer--org.apache.commons.math3.optimization.univariate.UnivariatePointValuePair-best-org.apache.commons.math3.optimization.univariate.UnivariatePointValuePair,org.apache.commons.math3.optimization.univariate.UnivariatePointValuePair,boolean-- -sampler-include-method=-org.apache.commons.math3.util.Precision--boolean-equals-double,double,int-- -sampler-include-method=-org.apache.commons.math3.util.Incrementor--void--init--int,org.apache.commons.math3.util.Incrementor-MaxCountExceededCallback-- -sampler-include-method=-org.apache.commons.math3.optimization.univariate.BaseAbstractUnivariateOptimizer--double-computeObjectiveValue-double-- -sampler-include-method=-org.apache.commons.math3.optimization.univariate.BaseAbstractUnivariateOptimizer--org.apache.commons.math3.optimization.univariate.UnivariatePointValuePair-optimize-int,org.apache.commons.math3.analysis.UnivariateFunction,org.apache.commons.math3.optimization.GoalType,double,double,double-- -sampler-include-method=-org.apache.commons.math3.util.Incrementor--void-incrementCount--- -sampler-include-method=-org.apache.commons.math3.optimization.univariate.BrentOptimizer--void--init--double,double,org.apache.commons.math3.optimization.ConvergenceChecker-- -sampler-include-method=-org.apache.commons.math3.optimization.univariate.BrentOptimizer--org.apache.commons.math3.optimization.univariate.UnivariatePointValuePair-doOptimize---
3,23,5,prune.includes_diff,-sampler-include-method=-org.apache.commons.math3.analysis.function.StepFunction--void--init--double[],double[]-- -sampler-include-method=-org.apache.commons.math3.util.MathArrays--boolean-checkOrder-double[],org.apache.commons.math3.util.MathArrays-OrderDirection,boolean,boolean-- -sampler-include-method=-org.apache.commons.math3.analysis.function.Sin--double-value-double-- -sampler-include-method=-org.apache.commons.math3.util.MathArrays--double[]-copyOf-double[],int-- -sampler-include-method=-org.apache.commons.math3.util.FastMath--int-min-int,int-- -sampler-include-method=-org.apache.commons.math3.util.FastMath--double-cosQ-double,double-- -sampler-include-method=-org.apache.commons.math3.util.FastMath--double-polyCosine-double-- -sampler-include-method=-org.apache.commons.math3.util.FastMath--double-polySine-double-- -sampler-include-method=-org.apache.commons.math3.util.FastMath--double-sin-double-- -sampler-include-method=-org.apache.commons.math3.util.FastMath-CodyWaite--void--init--double,double-- -sampler-include-method=-org.apache.commons.math3.util.FastMath--double-sinQ-double,double-- -sampler-include-method=-org.apache.commons.math3.optimization.univariate.BaseAbstractUnivariateOptimizer--int-getEvaluations--- -sampler-include-method=-org.apache.commons.math3.util.Precision--boolean-equals-double,double-- -sampler-include-method=-org.apache.commons.math3.util.FastMath--long-abs-long-- -sampler-include-method=-org.apache.commons.math3.util.FastMath--double-abs-double-- -sampler-include-method=-org.apache.commons.math3.optimization.univariate.BrentOptimizer--org.apache.commons.math3.optimization.univariate.UnivariatePointValuePair-best-org.apache.commons.math3.optimization.univariate.UnivariatePointValuePair,org.apache.commons.math3.optimization.univariate.UnivariatePointValuePair,boolean-- -sampler-include-method=-org.apache.commons.math3.util.Precision--boolean-equals-double,double,int-- -sampler-include-method=-org.apache.commons.math3.util.Incrementor--void--init--int,org.apache.commons.math3.util.Incrementor-MaxCountExceededCallback-- -sampler-include-method=-org.apache.commons.math3.optimization.univariate.BaseAbstractUnivariateOptimizer--double-computeObjectiveValue-double-- -sampler-include-method=-org.apache.commons.math3.optimization.univariate.BaseAbstractUnivariateOptimizer--org.apache.commons.math3.optimization.univariate.UnivariatePointValuePair-optimize-int,org.apache.commons.math3.analysis.UnivariateFunction,org.apache.commons.math3.optimization.GoalType,double,double,double-- -sampler-include-method=-org.apache.commons.math3.util.Incrementor--void-incrementCount--- -sampler-include-method=-org.apache.commons.math3.optimization.univariate.BrentOptimizer--void--init--double,double,org.apache.commons.math3.optimization.ConvergenceChecker-- -sampler-include-method=-org.apache.commons.math3.optimization.univariate.BrentOptimizer--org.apache.commons.math3.optimization.univariate.UnivariatePointValuePair-doOptimize---
3,23,5,prune_s.profile.number,1910
3,23,5,prune_s.profile.time,3703
3,23,5,prune_s.profile.size,280
3,23,5,prune.profile.number,1932
3,23,5,prune.profile.time,3148
3,23,5,prune.profile.size,280
3,23,5,prune.preprocess.size,2269584
3,23,5,prune.preprocess.time,5063
3,23,5,prune.preprocess.number,2442
3,23,5,prune.preprocess.time_p,4243.0
3,23,5,prune.mine.size,136112
3,23,5,prune.mine.time,9090
3,23,5,end
