3,41,10,start
3,41,10,raw.profile.time,7946
3,41,10,coarse-grained.profile.time,163957
3,41,10,coarse-grained.profile.number,5736
3,41,10,coarse-grained.profile.size,4776
3,41,10,fine-grained.profile.time,2071780
3,41,10,fine-grained.profile.size,281440
3,41,10,fine-grained.profile.number,175780
3,41,10,fine-grained.preprocess.size,18527376
3,41,10,fine-grained.preprocess.time,67964
3,41,10,fine-grained.preprocess.number,443
3,41,10,fine-grained.preprocess.time_p,66405.0
3,41,10,fine-grained.mine.size,22624
3,41,10,fine-grained.mine.time,155
3,41,10,boost.includes,-sampler-include-method=-org.apache.commons.math.stat.descriptive.moment.Variance--double-evaluate-double[],double[]-- -sampler-include-method=-org.apache.commons.math.stat.descriptive.AbstractUnivariateStatistic--boolean-test-double[],double[],int,int-- -sampler-include-method=-org.apache.commons.math.stat.descriptive.moment.Variance--double-evaluate-double[],double[],int,int-- -sampler-include-method=-org.apache.commons.math.stat.descriptive.summary.Sum--double-evaluate-double[],double[],int,int--
3,41,10,boost.profile.number,20
3,41,10,boost.profile.time,9740
3,41,10,boost.profile.size,996
3,41,10,boost.preprocess.size,350992
3,41,10,boost.preprocess.time,2267
3,41,10,boost.preprocess.number,38
3,41,10,boost.preprocess.time_p,1449.0
3,41,10,boost.mine.size,19744
3,41,10,boost.mine.time,103
3,41,10,prune.theta,0.027828
3,41,10,prune.includes,-sampler-include-method=-org.apache.commons.math.stat.descriptive.moment.Variance--double-evaluate-double[],double[]-- -sampler-include-method=-org.apache.commons.math.stat.descriptive.AbstractUnivariateStatistic--boolean-test-double[],double[],int,int-- -sampler-include-method=-org.apache.commons.math.stat.descriptive.moment.Variance--double-evaluate-double[],double[],int,int-- -sampler-include-method=-org.apache.commons.math.stat.descriptive.summary.Sum--double-evaluate-double[],double[],int,int-- -sampler-include-method=-org.apache.commons.math.stat.descriptive.AbstractUnivariateStatistic--boolean-test-double[],double[],int,int,boolean-- -sampler-include-method=-org.apache.commons.math.stat.descriptive.moment.Mean--double-evaluate-double[],double[],int,int-- -sampler-include-method=-org.apache.commons.math.stat.descriptive.moment.Variance--double-evaluate-double[],double[],double,int,int-- -sampler-include-method=-org.apache.commons.math.stat.descriptive.moment.Variance--void-clear--- -sampler-include-method=-org.apache.commons.math.stat.descriptive.summary.Sum--double-evaluate-double[],int,int-- -sampler-include-method=-org.apache.commons.math.stat.descriptive.AbstractUnivariateStatistic--boolean-test-double[],int,int,boolean-- -sampler-include-method=-org.apache.commons.math.util.FastMath--double-sqrt-double--
3,41,10,prune.includes_diff,-sampler-include-method=-org.apache.commons.math.stat.descriptive.AbstractUnivariateStatistic--boolean-test-double[],double[],int,int,boolean-- -sampler-include-method=-org.apache.commons.math.stat.descriptive.moment.Mean--double-evaluate-double[],double[],int,int-- -sampler-include-method=-org.apache.commons.math.stat.descriptive.moment.Variance--double-evaluate-double[],double[],double,int,int-- -sampler-include-method=-org.apache.commons.math.stat.descriptive.moment.Variance--void-clear--- -sampler-include-method=-org.apache.commons.math.stat.descriptive.summary.Sum--double-evaluate-double[],int,int-- -sampler-include-method=-org.apache.commons.math.stat.descriptive.AbstractUnivariateStatistic--boolean-test-double[],int,int,boolean-- -sampler-include-method=-org.apache.commons.math.util.FastMath--double-sqrt-double--
3,41,10,prune_s.profile.number,341
3,41,10,prune_s.profile.time,13334
3,41,10,prune_s.profile.size,996
3,41,10,prune.profile.number,369
3,41,10,prune.profile.time,9719
3,41,10,prune.profile.size,996
3,41,10,prune.preprocess.size,2263600
3,41,10,prune.preprocess.time,3825
3,41,10,prune.preprocess.number,432
3,41,10,prune.preprocess.time_p,2889.0
3,41,10,prune.mine.size,22704
3,41,10,prune.mine.time,114
3,41,10,end
