1,54,10,start
1,54,10,raw.profile.time,23641
1,54,10,coarse-grained.profile.time,66045
1,54,10,coarse-grained.profile.number,2052
1,54,10,coarse-grained.profile.size,13212
1,54,10,fine-grained.profile.time,4263719
1,54,10,fine-grained.profile.size,155564
1,54,10,fine-grained.profile.number,14886
1,54,10,fine-grained.preprocess.size,11164464
1,54,10,fine-grained.preprocess.time,49420
1,54,10,fine-grained.preprocess.number,19
1,54,10,fine-grained.preprocess.time_p,48038.0
1,54,10,fine-grained.mine.size,21968
1,54,10,fine-grained.mine.time,106
1,54,10,boost.includes,-sampler-include-method=-org.apache.commons.lang.LocaleUtils--java.util.Locale-toLocale-java.lang.String--
1,54,10,boost.profile.number,15
1,54,10,boost.profile.time,26852
1,54,10,boost.profile.size,6748
1,54,10,boost.preprocess.size,557024
1,54,10,boost.preprocess.time,3680
1,54,10,boost.preprocess.number,18
1,54,10,boost.preprocess.time_p,2816.0
1,54,10,boost.mine.size,21392
1,54,10,boost.mine.time,61
1,54,10,prune.theta,0.005480
1,54,10,prune.includes,-sampler-include-method=-org.apache.commons.lang.LocaleUtils--java.util.Locale-toLocale-java.lang.String-- -sampler-include-method=-org.apache.commons.lang.LocaleUtils--boolean-isAvailableLocale-java.util.Locale--
1,54,10,prune.includes_diff,-sampler-include-method=-org.apache.commons.lang.LocaleUtils--boolean-isAvailableLocale-java.util.Locale--
1,54,10,prune_s.profile.number,-7
1,54,10,prune_s.profile.time,30890
1,54,10,prune_s.profile.size,6748
1,54,10,prune.profile.number,16
1,54,10,prune.profile.time,27786
1,54,10,prune.profile.size,6748
1,54,10,prune.preprocess.size,677488
1,54,10,prune.preprocess.time,3383
1,54,10,prune.preprocess.number,19
1,54,10,prune.preprocess.time_p,2663.0
1,54,10,prune.mine.size,22272
1,54,10,prune.mine.time,97
1,54,10,end
