3,61,1,start
3,61,1,raw.profile.time,883
3,61,1,coarse-grained.profile.time,5430
3,61,1,coarse-grained.profile.number,4715
3,61,1,coarse-grained.profile.size,196
3,61,1,fine-grained.profile.time,1187322
3,61,1,fine-grained.profile.size,11512
3,61,1,fine-grained.profile.number,141242
3,61,1,fine-grained.preprocess.size,2363312
3,61,1,fine-grained.preprocess.time,8557
3,61,1,fine-grained.preprocess.number,1
3,61,1,fine-grained.preprocess.time_p,7827.0
3,61,1,fine-grained.mine.size,19376
3,61,1,fine-grained.mine.time,95
3,61,1,boost.includes,-sampler-include-method=-org.apache.commons.math.exception.util.LocalizedFormats--java.lang.String-getLocalizedString-java.util.Locale-- -sampler-include-method=-org.apache.commons.math.distribution.NormalDistributionImpl--void-setStandardDeviationInternal-double-- -sampler-include-method=-org.apache.commons.math.util.FastMath--double-sqrt-double-- -sampler-include-method=-org.apache.commons.math.distribution.PoissonDistributionImpl--void--init--double,double,int--
3,61,1,boost.profile.number,-2
3,61,1,boost.profile.time,813
3,61,1,boost.profile.size,52
3,61,1,boost.preprocess.size,142576
3,61,1,boost.preprocess.time,1003
3,61,1,boost.preprocess.number,1
3,61,1,boost.preprocess.time_p,232.0
3,61,1,boost.mine.size,19584
3,61,1,boost.mine.time,99
3,61,1,prune.theta,0.413817
3,61,1,prune.includes,
3,61,1,prune.includes_diff,
3,61,1,end
