1,44,10,start
1,44,10,raw.profile.time,27192
1,44,10,coarse-grained.profile.time,39817
1,44,10,coarse-grained.profile.number,2231
1,44,10,coarse-grained.profile.size,14604
1,44,10,fine-grained.profile.time,4410616
1,44,10,fine-grained.profile.size,193108
1,44,10,fine-grained.profile.number,16476
1,44,10,fine-grained.preprocess.size,17798640
1,44,10,fine-grained.preprocess.time,50744
1,44,10,fine-grained.preprocess.number,65
1,44,10,fine-grained.preprocess.time_p,48994.0
1,44,10,fine-grained.mine.size,22432
1,44,10,fine-grained.mine.time,80
1,44,10,boost.includes,-sampler-include-method=-org.apache.commons.lang.NumberUtils--boolean-isAllZeros-java.lang.String--
1,44,10,boost.profile.number,1
1,44,10,boost.profile.time,29111
1,44,10,boost.profile.size,7464
1,44,10,boost.preprocess.size,469840
1,44,10,boost.preprocess.time,3417
1,44,10,boost.preprocess.number,6
1,44,10,boost.preprocess.time_p,2739.0
1,44,10,boost.mine.size,21520
1,44,10,boost.mine.time,78
1,44,10,prune.theta,0.005316
1,44,10,prune.includes,-sampler-include-method=-org.apache.commons.lang.NumberUtils--boolean-isAllZeros-java.lang.String-- -sampler-include-method=-org.apache.commons.lang.NumberUtils--java.lang.Number-createNumber-java.lang.String--
1,44,10,prune.includes_diff,-sampler-include-method=-org.apache.commons.lang.NumberUtils--java.lang.Number-createNumber-java.lang.String--
1,44,10,prune_s.profile.number,183
1,44,10,prune_s.profile.time,32078
1,44,10,prune_s.profile.size,7464
1,44,10,prune.profile.number,192
1,44,10,prune.profile.time,36204
1,44,10,prune.profile.size,7464
1,44,10,prune.preprocess.size,1871664
1,44,10,prune.preprocess.time,5821
1,44,10,prune.preprocess.number,65
1,44,10,prune.preprocess.time_p,4976.0
1,44,10,prune.mine.size,22912
1,44,10,prune.mine.time,99
1,44,10,end
