1,37,10,start
1,37,10,raw.profile.time,19332
1,37,10,coarse-grained.profile.time,28903
1,37,10,coarse-grained.profile.number,2044
1,37,10,coarse-grained.profile.size,13312
1,37,10,fine-grained.profile.time,277119
1,37,10,fine-grained.profile.size,156496
1,37,10,fine-grained.profile.number,14743
1,37,10,fine-grained.preprocess.size,11227856
1,37,10,fine-grained.preprocess.time,37131
1,37,10,fine-grained.preprocess.number,25
1,37,10,fine-grained.preprocess.time_p,35930.0
1,37,10,fine-grained.mine.size,21136
1,37,10,fine-grained.mine.time,94
1,37,10,boost.includes,-sampler-include-method=-org.apache.commons.lang3.ArrayUtils--java.lang.Object[]-addAll-java.lang.Object[],java.lang.Object[]--
1,37,10,boost.profile.number,9
1,37,10,boost.profile.time,27639
1,37,10,boost.profile.size,6804
1,37,10,boost.preprocess.size,572896
1,37,10,boost.preprocess.time,2401
1,37,10,boost.preprocess.number,25
1,37,10,boost.preprocess.time_p,1930.0
1,37,10,boost.mine.size,21408
1,37,10,boost.mine.time,87
1,37,10,prune.theta,0.005449
1,37,10,prune.includes,-sampler-include-method=-org.apache.commons.lang3.ArrayUtils--java.lang.Object[]-addAll-java.lang.Object[],java.lang.Object[]--
1,37,10,prune.includes_diff,
1,37,10,end
