3,10,5,start
3,10,5,raw.profile.time,35985
3,10,5,coarse-grained.profile.time,221573
3,10,5,coarse-grained.profile.number,6914
3,10,5,coarse-grained.profile.size,8908
3,10,5,fine-grained.profile.time,22935914
3,10,5,fine-grained.profile.size,538316
3,10,5,fine-grained.profile.number,215860
3,10,5,fine-grained.preprocess.size,42202240
3,10,5,fine-grained.preprocess.time,149311
3,10,5,fine-grained.preprocess.number,3369
3,10,5,fine-grained.preprocess.time_p,146953.0
3,10,5,fine-grained.mine.size,1517344
3,10,5,fine-grained.mine.time,135193
3,10,5,boost.includes,-sampler-include-method=-org.apache.commons.math3.analysis.differentiation.DSCompiler--void-atan2-double[],int,double[],int,double[],int--
3,10,5,boost.profile.number,82
3,10,5,boost.profile.time,37299
3,10,5,boost.profile.size,1548
3,10,5,boost.preprocess.size,325664
3,10,5,boost.preprocess.time,2479
3,10,5,boost.preprocess.number,40
3,10,5,boost.preprocess.time_p,1628.0
3,10,5,boost.mine.size,19952
3,10,5,boost.mine.time,99
3,10,5,prune.theta,0.019591
3,10,5,prune.includes,-sampler-include-method=-org.apache.commons.math3.analysis.differentiation.DSCompiler--void-atan2-double[],int,double[],int,double[],int-- -sampler-include-method=-org.apache.commons.math3.util.FastMath--double-atan-double-- -sampler-include-method=-org.apache.commons.math3.analysis.differentiation.DSCompiler--void-atan-double[],int,double[],int-- -sampler-include-method=-org.apache.commons.math3.util.FastMath--double-atan-double,double,boolean-- -sampler-include-method=-org.apache.commons.math3.analysis.differentiation.DSCompiler--void-divide-double[],int,double[],int,double[],int-- -sampler-include-method=-org.apache.commons.math3.analysis.differentiation.DSCompiler--void-pow-double[],int,int,double[],int-- -sampler-include-method=-org.apache.commons.math3.analysis.differentiation.DSCompiler--void-rootN-double[],int,int,double[],int-- -sampler-include-method=-org.apache.commons.math3.util.FastMath--double-pow-double,int-- -sampler-include-method=-org.apache.commons.math3.analysis.differentiation.DSCompiler--void-multiply-double[],int,double[],int,double[],int-- -sampler-include-method=-org.apache.commons.math3.analysis.differentiation.DSCompiler--void-compose-double[],int,double[],double[],int-- -sampler-include-method=-org.apache.commons.math3.analysis.differentiation.DSCompiler--void-add-double[],int,double[],int,double[],int-- -sampler-include-method=-org.apache.commons.math3.util.FastMath--double-sqrt-double-- -sampler-include-method=-org.apache.commons.math3.analysis.differentiation.DSCompiler--void-checkCompatibility-org.apache.commons.math3.analysis.differentiation.DSCompiler-- -sampler-include-method=-org.apache.commons.math3.analysis.differentiation.DerivativeStructure--void--init--int,int,int,double-- -sampler-include-method=-org.apache.commons.math3.analysis.differentiation.DerivativeStructure--void--init--org.apache.commons.math3.analysis.differentiation.DSCompiler-- -sampler-include-method=-org.apache.commons.math3.analysis.differentiation.DSCompiler--int-getSize--- -sampler-include-method=-org.apache.commons.math3.analysis.differentiation.DSCompiler--org.apache.commons.math3.analysis.differentiation.DSCompiler-getCompiler-int,int--
3,10,5,prune.includes_diff,-sampler-include-method=-org.apache.commons.math3.util.FastMath--double-atan-double-- -sampler-include-method=-org.apache.commons.math3.analysis.differentiation.DSCompiler--void-atan-double[],int,double[],int-- -sampler-include-method=-org.apache.commons.math3.util.FastMath--double-atan-double,double,boolean-- -sampler-include-method=-org.apache.commons.math3.analysis.differentiation.DSCompiler--void-divide-double[],int,double[],int,double[],int-- -sampler-include-method=-org.apache.commons.math3.analysis.differentiation.DSCompiler--void-pow-double[],int,int,double[],int-- -sampler-include-method=-org.apache.commons.math3.analysis.differentiation.DSCompiler--void-rootN-double[],int,int,double[],int-- -sampler-include-method=-org.apache.commons.math3.util.FastMath--double-pow-double,int-- -sampler-include-method=-org.apache.commons.math3.analysis.differentiation.DSCompiler--void-multiply-double[],int,double[],int,double[],int-- -sampler-include-method=-org.apache.commons.math3.analysis.differentiation.DSCompiler--void-compose-double[],int,double[],double[],int-- -sampler-include-method=-org.apache.commons.math3.analysis.differentiation.DSCompiler--void-add-double[],int,double[],int,double[],int-- -sampler-include-method=-org.apache.commons.math3.util.FastMath--double-sqrt-double-- -sampler-include-method=-org.apache.commons.math3.analysis.differentiation.DSCompiler--void-checkCompatibility-org.apache.commons.math3.analysis.differentiation.DSCompiler-- -sampler-include-method=-org.apache.commons.math3.analysis.differentiation.DerivativeStructure--void--init--int,int,int,double-- -sampler-include-method=-org.apache.commons.math3.analysis.differentiation.DerivativeStructure--void--init--org.apache.commons.math3.analysis.differentiation.DSCompiler-- -sampler-include-method=-org.apache.commons.math3.analysis.differentiation.DSCompiler--int-getSize--- -sampler-include-method=-org.apache.commons.math3.analysis.differentiation.DSCompiler--org.apache.commons.math3.analysis.differentiation.DSCompiler-getCompiler-int,int--
3,10,5,prune_s.profile.number,2466
3,10,5,prune_s.profile.time,1641742
3,10,5,prune_s.profile.size,7488
3,10,5,prune.profile.number,2556
3,10,5,prune.profile.time,1674755
3,10,5,prune.profile.size,7544
3,10,5,prune.preprocess.size,17078704
3,10,5,prune.preprocess.time,30980
3,10,5,prune.preprocess.number,3369
3,10,5,prune.preprocess.time_p,29445.0
3,10,5,prune.mine.size,1520352
3,10,5,prune.mine.time,85227
3,10,5,end
