3,100,10,start
3,100,10,raw.profile.time,2334
3,100,10,coarse-grained.profile.time,4451
3,100,10,coarse-grained.profile.number,1723
3,100,10,coarse-grained.profile.size,396
3,100,10,fine-grained.profile.time,115236
3,100,10,fine-grained.profile.size,16248
3,100,10,fine-grained.profile.number,49339
3,100,10,fine-grained.preprocess.size,4521376
3,100,10,fine-grained.preprocess.time,9901
3,100,10,fine-grained.preprocess.number,1621
3,100,10,fine-grained.preprocess.time_p,8984.0
3,100,10,fine-grained.mine.size,349664
3,100,10,fine-grained.mine.time,16354
3,100,10,boost.includes,-sampler-include-method=-org.apache.commons.math.estimation.SimpleEstimationProblem--org.apache.commons.math.estimation.EstimatedParameter[]-getAllParameters--- -sampler-include-method=-org.apache.commons.math.estimation.AbstractEstimator--double[][]-getCovariances-org.apache.commons.math.estimation.EstimationProblem--
3,100,10,boost.profile.number,49
3,100,10,boost.profile.time,4494
3,100,10,boost.profile.size,204
3,100,10,boost.preprocess.size,194720
3,100,10,boost.preprocess.time,1142
3,100,10,boost.preprocess.number,64
3,100,10,boost.preprocess.time_p,401.0
3,100,10,boost.mine.size,19920
3,100,10,boost.mine.time,79
3,100,10,prune.theta,0.088701
3,100,10,prune.includes,-sampler-include-method=-org.apache.commons.math.estimation.SimpleEstimationProblem--org.apache.commons.math.estimation.EstimatedParameter[]-getAllParameters--- -sampler-include-method=-org.apache.commons.math.estimation.AbstractEstimator--double[][]-getCovariances-org.apache.commons.math.estimation.EstimationProblem-- -sampler-include-method=-org.apache.commons.math.estimation.SimpleEstimationProblem--org.apache.commons.math.estimation.WeightedMeasurement[]-getMeasurements--- -sampler-include-method=-org.apache.commons.math.estimation.SimpleEstimationProblem--org.apache.commons.math.estimation.EstimatedParameter[]-getUnboundParameters--- -sampler-include-method=-org.apache.commons.math.linear.RealMatrixImpl--org.apache.commons.math.linear.RealMatrix-add-org.apache.commons.math.linear.RealMatrix-- -sampler-include-method=-org.apache.commons.math.estimation.GaussNewtonEstimator--void-estimate-org.apache.commons.math.estimation.EstimationProblem-- -sampler-include-method=-org.apache.commons.math.linear.RealMatrixImpl--double-getEntry-int,int-- -sampler-include-method=-org.apache.commons.math.linear.RealMatrixImpl--boolean-isValidCoordinate-int,int-- -sampler-include-method=-org.apache.commons.math.linear.RealMatrixImpl--boolean-isSingular--- -sampler-include-method=-org.apache.commons.math.linear.RealMatrixImpl--void--init--int,int-- -sampler-include-method=-org.apache.commons.math.linear.RealMatrixImpl--boolean-isSquare--- -sampler-include-method=-org.apache.commons.math.linear.RealMatrixImpl--double[][]-copyOut--- -sampler-include-method=-org.apache.commons.math.linear.RealMatrixImpl--void-setSubMatrix-double[][],int,int-- -sampler-include-method=-org.apache.commons.math.linear.RealMatrixImpl--org.apache.commons.math.linear.RealMatrix-solve-org.apache.commons.math.linear.RealMatrix-- -sampler-include-method=-org.apache.commons.math.linear.RealMatrixImpl--void-luDecompose--- -sampler-include-method=-org.apache.commons.math.estimation.AbstractEstimator--void-updateJacobian--- -sampler-include-method=-org.apache.commons.math.estimation.AbstractEstimator--double-getRMS-org.apache.commons.math.estimation.EstimationProblem-- -sampler-include-method=-org.apache.commons.math.estimation.AbstractEstimator--void-updateResidualsAndCost--- -sampler-include-method=-org.apache.commons.math.estimation.AbstractEstimator--void-incrementJacobianEvaluationsCounter--- -sampler-include-method=-org.apache.commons.math.estimation.WeightedMeasurement--double-getResidual--- -sampler-include-method=-org.apache.commons.math.estimation.AbstractEstimator--void-initializeEstimate-org.apache.commons.math.estimation.EstimationProblem--
3,100,10,prune.includes_diff,-sampler-include-method=-org.apache.commons.math.estimation.SimpleEstimationProblem--org.apache.commons.math.estimation.WeightedMeasurement[]-getMeasurements--- -sampler-include-method=-org.apache.commons.math.estimation.SimpleEstimationProblem--org.apache.commons.math.estimation.EstimatedParameter[]-getUnboundParameters--- -sampler-include-method=-org.apache.commons.math.linear.RealMatrixImpl--org.apache.commons.math.linear.RealMatrix-add-org.apache.commons.math.linear.RealMatrix-- -sampler-include-method=-org.apache.commons.math.estimation.GaussNewtonEstimator--void-estimate-org.apache.commons.math.estimation.EstimationProblem-- -sampler-include-method=-org.apache.commons.math.linear.RealMatrixImpl--double-getEntry-int,int-- -sampler-include-method=-org.apache.commons.math.linear.RealMatrixImpl--boolean-isValidCoordinate-int,int-- -sampler-include-method=-org.apache.commons.math.linear.RealMatrixImpl--boolean-isSingular--- -sampler-include-method=-org.apache.commons.math.linear.RealMatrixImpl--void--init--int,int-- -sampler-include-method=-org.apache.commons.math.linear.RealMatrixImpl--boolean-isSquare--- -sampler-include-method=-org.apache.commons.math.linear.RealMatrixImpl--double[][]-copyOut--- -sampler-include-method=-org.apache.commons.math.linear.RealMatrixImpl--void-setSubMatrix-double[][],int,int-- -sampler-include-method=-org.apache.commons.math.linear.RealMatrixImpl--org.apache.commons.math.linear.RealMatrix-solve-org.apache.commons.math.linear.RealMatrix-- -sampler-include-method=-org.apache.commons.math.linear.RealMatrixImpl--void-luDecompose--- -sampler-include-method=-org.apache.commons.math.estimation.AbstractEstimator--void-updateJacobian--- -sampler-include-method=-org.apache.commons.math.estimation.AbstractEstimator--double-getRMS-org.apache.commons.math.estimation.EstimationProblem-- -sampler-include-method=-org.apache.commons.math.estimation.AbstractEstimator--void-updateResidualsAndCost--- -sampler-include-method=-org.apache.commons.math.estimation.AbstractEstimator--void-incrementJacobianEvaluationsCounter--- -sampler-include-method=-org.apache.commons.math.estimation.WeightedMeasurement--double-getResidual--- -sampler-include-method=-org.apache.commons.math.estimation.AbstractEstimator--void-initializeEstimate-org.apache.commons.math.estimation.EstimationProblem--
3,100,10,prune_s.profile.number,1000
3,100,10,prune_s.profile.time,6374
3,100,10,prune_s.profile.size,408
3,100,10,prune.profile.number,1057
3,100,10,prune.profile.time,4590
3,100,10,prune.profile.size,416
3,100,10,prune.preprocess.size,2274848
3,100,10,prune.preprocess.time,4573
3,100,10,prune.preprocess.number,1619
3,100,10,prune.preprocess.time_p,3817.0
3,100,10,prune.mine.size,346992
3,100,10,prune.mine.time,20144
3,100,10,end
