5,9,5,start
5,9,5,raw.profile.time,242903
5,9,5,coarse-grained.profile.time,259063
5,9,5,coarse-grained.profile.number,1577
5,9,5,coarse-grained.profile.size,11168
5,9,5,fine-grained.profile.time,279691
5,9,5,fine-grained.profile.size,22000
5,9,5,fine-grained.profile.number,2352
5,9,5,fine-grained.preprocess.size,27257808
5,9,5,fine-grained.preprocess.time,13722
5,9,5,fine-grained.preprocess.number,224
5,9,5,fine-grained.preprocess.time_p,12885.0
5,9,5,fine-grained.mine.size,72736
5,9,5,fine-grained.mine.time,74
5,9,5,boost.includes,-sampler-include-method=-org.mockito.internal.creation.DelegatingMethod--boolean-isAbstract---
5,9,5,boost.profile.number,-5
5,9,5,boost.profile.time,74488
5,9,5,boost.profile.size,5752
5,9,5,boost.preprocess.size,383888
5,9,5,boost.preprocess.time,765
5,9,5,boost.preprocess.number,8
5,9,5,boost.preprocess.time_p,588.0
5,9,5,boost.mine.size,20944
5,9,5,boost.mine.time,10
5,9,5,prune.theta,0.009918
