space,21_-,1,start
space,21_-,1,coarse-grained.profile.time,6904
space,21_-,1,coarse-grained.profile.size,528
# /home/sunzzq2/Data/IResearch/Automated_Bug_Isolation/Twopass_heavy/Subjects/space/versions/v21/v21_c.sites
space,21_-,1,coarse-grained.profile.number,136
space,21_-,1,fine-grained.profile.time,58703
space,21_-,1,fine-grained.profile.size,567278
# /home/sunzzq2/Data/IResearch/Automated_Bug_Isolation/Twopass_heavy/Subjects/space/versions/v21/v21_f.sites
space,21_-,1,fine-grained.profile.number,459134
space,21_-,1,fine-grained.preprocess.size,1928664
space,21_-,1,fine-grained.preprocess.time,81489
space,21_-,1,fine-grained.preprocess.number,4208 
space,21_-,1,fine-grained.preprocess.time_p,81222.0
space,21_-,1,fine-grained.mine.size,5792
space,21_-,1,fine-grained.mine.time,62032
space,21_-,1,boost,0.05
space,21_-,1,boost.functions.count,9
space,21_-,1,boost.includes,-sampler-include-method=anglerot -sampler-include-method=hexdef -sampler-include-method=mkshex -sampler-include-method=polydef -sampler-include-method=seqrothg -sampler-include-method=serotdir -sampler-include-method=serotpar -sampler-include-method=serotpha -sampler-include-method=sgrphasr
space,21_-,1,boost.preprocess.size,569904
space,21_-,1,boost.preprocess.time,1502
space,21_-,1,boost.preprocess.number,264 
space,21_-,1,boost.preprocess.time_p,1356.0
space,21_-,1,boost.mine.size,5816
space,21_-,1,boost.mine.time,1800
space,21_-,1,theta,0.370809
space,21_-,1,prune.functions.count,0
space,21_-,1,prune.includes,
space,21_-,1,boost.profile.time,7729
space,21_-,1,boost.profile.size,10551
# /home/sunzzq2/Data/IResearch/Automated_Bug_Isolation/Twopass_heavy/Subjects/space/versions/v21/v21_b.sites
space,21_-,1,boost.profile.number,8272
space,21_-,1,prune.profile.time,0
space,21_-,1,prune.profile.size,4
# /home/sunzzq2/Data/IResearch/Automated_Bug_Isolation/Twopass_heavy/Subjects/space/versions/v21/v21_p.sites
space,21_-,1,prune.profile.number,0
space,21_-,1,prune-minus-boost.profile.time,1
space,21_-,1,prune-minus-boost.profile.size,4
# /home/sunzzq2/Data/IResearch/Automated_Bug_Isolation/Twopass_heavy/Subjects/space/versions/v21/v21_pmb.sites
space,21_-,1,prune-minus-boost.profile.number,0
space,21_-,1,end
