space,31_-,5,start
space,31_-,5,fine-grained.preprocess.size,1827864
space,31_-,5,fine-grained.preprocess.time,38008
space,31_-,5,fine-grained.preprocess.number,1100 
space,31_-,5,fine-grained.preprocess.time_p,37742.0
space,31_-,5,fine-grained.mine.size,5860
space,31_-,5,fine-grained.mine.time,2172
space,31_-,5,boost,0.05
space,31_-,5,boost.functions.count,7
space,31_-,5,boost.includes,-sampler-include-method=angclaus -sampler-include-method=angstep -sampler-include-method=doubstep -sampler-include-method=hexgrdef -sampler-include-method=parserro -sampler-include-method=recgrdef -sampler-include-method=trigrdef
space,31_-,5,boost.preprocess.size,297704
space,31_-,5,boost.preprocess.time,1068
space,31_-,5,boost.preprocess.number,99 
space,31_-,5,boost.preprocess.time_p,948.0
space,31_-,5,boost.mine.size,5824
space,31_-,5,boost.mine.time,1512
space,31_-,5,theta,0.707490
space,31_-,5,prune.functions.count,27
space,31_-,5,prune.includes,-sampler-include-method=GetKeyword -sampler-include-method=GetUName -sampler-include-method=InKWords -sampler-include-method=InUNames -sampler-include-method=InserUN -sampler-include-method=TapeGet -sampler-include-method=angclaus -sampler-include-method=angstep -sampler-include-method=doubstep -sampler-include-method=emsginit -sampler-include-method=floatsup -sampler-include-method=greldef -sampler-include-method=griddef1 -sampler-include-method=groupdef -sampler-include-method=hexgrdef -sampler-include-method=isletter -sampler-include-method=kwdsinit -sampler-include-method=main -sampler-include-method=moseinit -sampler-include-method=nomefile -sampler-include-method=parserro -sampler-include-method=prnfile -sampler-include-method=readfil3 -sampler-include-method=recgrdef -sampler-include-method=squgrdef -sampler-include-method=trigrdef -sampler-include-method=unaminit
space,31_-,5,prune.preprocess.size,1503620
space,31_-,5,prune.preprocess.time,8685
space,31_-,5,prune.preprocess.number,1100 
space,31_-,5,prune.preprocess.time_p,8489.0
space,31_-,5,prune.mine.size,5828
space,31_-,5,prune.mine.time,2077
space,31_-,5,boost.profile.time,9184
space,31_-,5,boost.profile.size,6055
# /home/sunzzq2/Data/IResearch/Automated_Bug_Isolation/Twopass_heavy/Subjects/space/versions/v31/v31_b.sites
space,31_-,5,boost.profile.number,4586
space,31_-,5,prune.profile.time,26083
space,31_-,5,prune.profile.size,102888
# /home/sunzzq2/Data/IResearch/Automated_Bug_Isolation/Twopass_heavy/Subjects/space/versions/v31/v31_p.sites
space,31_-,5,prune.profile.number,79802
space,31_-,5,prune-minus-boost.profile.time,21715
space,31_-,5,prune-minus-boost.profile.size,73836
# /home/sunzzq2/Data/IResearch/Automated_Bug_Isolation/Twopass_heavy/Subjects/space/versions/v31/v31_pmb.sites
space,31_-,5,prune-minus-boost.profile.number,56076
space,31_-,5,end
