nanoxml,4_3,1,start
nanoxml,4_3,1,coarse-grained.profile.time,225053
nanoxml,4_3,1,coarse-grained.profile.size,456
# /home/sunzzq2/Data/IResearch/Automated_Bug_Isolation/Twopass_heavy/Subjects/nanoxml/versions/v4/subv3/coarse-grained/output.sites
nanoxml,4_3,1,coarse-grained.profile.number,594
nanoxml,4_3,1,fine-grained.profile.time,729808
nanoxml,4_3,1,fine-grained.profile.size,1707
# /home/sunzzq2/Data/IResearch/Automated_Bug_Isolation/Twopass_heavy/Subjects/nanoxml/versions/v4/subv3/fine-grained/output.sites
nanoxml,4_3,1,fine-grained.profile.number,5010
nanoxml,4_3,1,fine-grained.preprocess.size,160900
nanoxml,4_3,1,fine-grained.preprocess.time,552
nanoxml,4_3,1,fine-grained.preprocess.number,75 
nanoxml,4_3,1,fine-grained.preprocess.time_p,444.0
nanoxml,4_3,1,fine-grained.mine.size,5856
nanoxml,4_3,1,fine-grained.mine.time,7787
nanoxml,4_3,1,boost,0.05
nanoxml,4_3,1,boost.functions.count,13
nanoxml,4_3,1,boost.includes,-sampler-include-method=-net.n3.nanoxml.NonValidator--void-parseDTD-java.lang.String,net.n3.nanoxml.IXMLReader,net.n3.nanoxml.IXMLEntityResolver,boolean-- -sampler-include-method=-net.n3.nanoxml.NonValidator--void-processElement-net.n3.nanoxml.IXMLReader,net.n3.nanoxml.IXMLEntityResolver-- -sampler-include-method=-net.n3.nanoxml.NonValidator--void-processEntity-net.n3.nanoxml.IXMLReader,net.n3.nanoxml.IXMLEntityResolver-- -sampler-include-method=-net.n3.nanoxml.StdXMLReader--boolean-atEOFOfCurrentStream--- -sampler-include-method=-net.n3.nanoxml.StdXMLReader--java.io.Reader-openStream-java.lang.String,java.lang.String-- -sampler-include-method=-net.n3.nanoxml.XMLEntityResolver--void-addExternalEntity-java.lang.String,java.lang.String,java.lang.String-- -sampler-include-method=-net.n3.nanoxml.XMLEntityResolver--void-addInternalEntity-java.lang.String,java.lang.String-- -sampler-include-method=-net.n3.nanoxml.XMLException--java.lang.String-buildMessage-java.lang.String,int,java.lang.Exception,java.lang.String,boolean-- -sampler-include-method=-net.n3.nanoxml.XMLException--void-printStackTrace--- -sampler-include-method=-net.n3.nanoxml.XMLException--void-printStackTrace-java.io.PrintStream-- -sampler-include-method=-net.n3.nanoxml.XMLUtil--char-readChar-net.n3.nanoxml.IXMLReader,char-- -sampler-include-method=-net.n3.nanoxml.XMLUtil--java.lang.String-scanSystemID-net.n3.nanoxml.IXMLReader-- -sampler-include-method=-net.n3.nanoxml.XMLUtil--void-skipTag-net.n3.nanoxml.IXMLReader--
nanoxml,4_3,1,boost.preprocess.size,78416
nanoxml,4_3,1,boost.preprocess.time,308
nanoxml,4_3,1,boost.preprocess.number,23 
nanoxml,4_3,1,boost.preprocess.time_p,216.0
nanoxml,4_3,1,boost.mine.size,5828
nanoxml,4_3,1,boost.mine.time,3646
nanoxml,4_3,1,theta,0.718540
nanoxml,4_3,1,prune.functions.count,0
nanoxml,4_3,1,prune.includes,
nanoxml,4_3,1,boost.profile.time,90081
nanoxml,4_3,1,boost.profile.size,170
# /home/sunzzq2/Data/IResearch/Automated_Bug_Isolation/Twopass_heavy/Subjects/nanoxml/versions/v4/subv3/boost/output.sites
nanoxml,4_3,1,boost.profile.number,270
nanoxml,4_3,1,prune.profile.time,1
nanoxml,4_3,1,prune.profile.size,4
# /home/sunzzq2/Data/IResearch/Automated_Bug_Isolation/Twopass_heavy/Subjects/nanoxml/versions/v4/subv3/prune/output.sites
nanoxml,4_3,1,prune.profile.number,5010
nanoxml,4_3,1,prune-minus-boost.profile.time,8
nanoxml,4_3,1,prune-minus-boost.profile.size,4
# /home/sunzzq2/Data/IResearch/Automated_Bug_Isolation/Twopass_heavy/Subjects/nanoxml/versions/v4/subv3/prune-minus-boost/output.sites
nanoxml,4_3,1,prune-minus-boost.profile.number,0
nanoxml,4_3,1,end
