space,29_-,5,start
space,29_-,5,fine-grained.preprocess.size,1889456
space,29_-,5,fine-grained.preprocess.time,56362
space,29_-,5,fine-grained.preprocess.number,2985 
space,29_-,5,fine-grained.preprocess.time_p,56079.0
space,29_-,5,fine-grained.mine.size,5888
space,29_-,5,fine-grained.mine.time,19108
space,29_-,5,boost,0.05
space,29_-,5,boost.functions.count,3
space,29_-,5,boost.includes,-sampler-include-method=parserro -sampler-include-method=secoramp -sampler-include-method=unifamp
space,29_-,5,boost.preprocess.size,178820
space,29_-,5,boost.preprocess.time,1009
space,29_-,5,boost.preprocess.number,120 
space,29_-,5,boost.preprocess.time_p,870.0
space,29_-,5,boost.mine.size,5904
space,29_-,5,boost.mine.time,1821
space,29_-,5,theta,0.358517
space,29_-,5,prune.functions.count,40
space,29_-,5,prune.includes,-sampler-include-method=Get1Real -sampler-include-method=GetInt -sampler-include-method=GetKeyword -sampler-include-method=GetReal -sampler-include-method=GetUName -sampler-include-method=InKWords -sampler-include-method=InUNames -sampler-include-method=InserUN -sampler-include-method=TapeGet -sampler-include-method=adddef -sampler-include-method=adremdef -sampler-include-method=elemdef -sampler-include-method=emsginit -sampler-include-method=floatsup -sampler-include-method=geomspec -sampler-include-method=grampexc -sampler-include-method=greldef -sampler-include-method=grexcdef -sampler-include-method=grgeodef -sampler-include-method=griddef1 -sampler-include-method=groupdef -sampler-include-method=isletter -sampler-include-method=kwdsinit -sampler-include-method=lenunit -sampler-include-method=main -sampler-include-method=moseinit -sampler-include-method=nodecoor -sampler-include-method=nodedef -sampler-include-method=nomefile -sampler-include-method=parserro -sampler-include-method=polspec -sampler-include-method=portspec -sampler-include-method=prnfile -sampler-include-method=readfil3 -sampler-include-method=recspec -sampler-include-method=remdef -sampler-include-method=sinelem -sampler-include-method=squgrdef -sampler-include-method=unaminit -sampler-include-method=unifamp
space,29_-,5,prune.preprocess.size,1593004
space,29_-,5,prune.preprocess.time,20806
space,29_-,5,prune.preprocess.number,2303 
space,29_-,5,prune.preprocess.time_p,20565.0
space,29_-,5,prune.mine.size,5848
space,29_-,5,prune.mine.time,15546
space,29_-,5,boost.profile.time,9056
space,29_-,5,boost.profile.size,6468
# /home/sunzzq2/Data/IResearch/Automated_Bug_Isolation/Twopass_heavy/Subjects/space/versions/v29/v29_b.sites
space,29_-,5,boost.profile.number,4950
space,29_-,5,prune.profile.time,34523
space,29_-,5,prune.profile.size,170752
# /home/sunzzq2/Data/IResearch/Automated_Bug_Isolation/Twopass_heavy/Subjects/space/versions/v29/v29_p.sites
space,29_-,5,prune.profile.number,134888
space,29_-,5,prune-minus-boost.profile.time,34097
space,29_-,5,prune-minus-boost.profile.size,162477
# /home/sunzzq2/Data/IResearch/Automated_Bug_Isolation/Twopass_heavy/Subjects/space/versions/v29/v29_pmb.sites
space,29_-,5,prune-minus-boost.profile.number,128198
space,29_-,5,end
