,pid,bid,top-k,boost,boost.functions.count,boost.includes,boost.mine.size,boost.mine.time,boost.preprocess.number,boost.preprocess.size,boost.preprocess.time,boost.preprocess.time_p,boost.profile.number,boost.profile.size,boost.profile.time,coarse-grained.profile.number,coarse-grained.profile.size,coarse-grained.profile.time,end,fine-grained.mine.size,fine-grained.mine.time,fine-grained.preprocess.number,fine-grained.preprocess.size,fine-grained.preprocess.time,fine-grained.preprocess.time_p,fine-grained.profile.number,fine-grained.profile.size,fine-grained.profile.time,prune-minus-boost.profile.number,prune-minus-boost.profile.size,prune-minus-boost.profile.time,prune.functions.count,prune.includes,prune.mine.size,prune.mine.time,prune.preprocess.number,prune.preprocess.size,prune.preprocess.time,prune.preprocess.time_p,start,theta
14,bash,1_3,10,0.05,40.0,0.0,5880.0,5261.0,3209.0,1451396.0,7743.0,7550.0,157862.0,49332.0,119159.0,0.0,0.0,0.0,0.0,5852.0,15086.0,8066.0,2552436.0,104168.0,103905.0,0.0,0.0,0.0,1024140.0,313260.0,154676.0,213.0,0.0,5808.0,14433.0,6755.0,1730692.0,54961.0,0.0,0.0,0.057257
15,bash,1_4,1,0.05,85.0,0.0,5856.0,2818.0,2700.0,1457504.0,9544.0,9332.0,132664.0,42332.0,117833.0,1458.0,4812.0,112918.0,0.0,5896.0,29504.0,11819.0,2628884.0,149086.0,148792.0,3395944.0,1019064.0,213224.0,1008940.0,308380.0,150027.0,177.0,0.0,5792.0,17753.0,6143.0,1880392.0,36951.0,36584.0,0.0,0.044709
16,bash,1_4,5,0.05,85.0,0.0,5820.0,2454.0,2702.0,1456380.0,9640.0,9404.0,132664.0,42332.0,118324.0,0.0,0.0,0.0,0.0,5836.0,30049.0,11819.0,2520620.0,149155.0,148847.0,0.0,0.0,0.0,1091188.0,333020.0,153412.0,235.0,0.0,5844.0,24696.0,7813.0,1953840.0,56033.0,55736.0,0.0,0.035464
17,bash,1_4,10,0.05,85.0,0.0,5848.0,2353.0,2699.0,1457008.0,9657.0,9431.0,132664.0,42332.0,117801.0,0.0,0.0,0.0,0.0,5816.0,29484.0,11819.0,2873300.0,156520.0,156232.0,0.0,0.0,0.0,1091188.0,333020.0,152304.0,235.0,0.0,5796.0,26203.0,7812.0,1753072.0,53858.0,0.0,0.0,0.032456
18,bash,1_5,1,0.05,70.0,0.0,5792.0,9304.0,3409.0,1464932.0,11912.0,11721.0,147986.0,46972.0,120620.0,1458.0,4812.0,116880.0,0.0,5788.0,32780.0,11198.0,2824024.0,158677.0,158283.0,3395554.0,1018920.0,229206.0,965366.0,295432.0,158497.0,180.0,0.0,5968.0,27313.0,6197.0,1707392.0,66793.0,66428.0,0.0,0.044709
19,bash,1_5,5,0.05,70.0,0.0,5856.0,21852.0,3411.0,1461444.0,47538.0,47005.0,147986.0,46972.0,121235.0,0.0,0.0,0.0,0.0,5828.0,34924.0,11198.0,2315644.0,157107.0,156674.0,0.0,0.0,0.0,979364.0,299600.0,159622.0,184.0,0.0,5832.0,25865.0,6674.0,1710812.0,47969.0,47670.0,0.0,0.041595
20,bash,1_5,10,0.05,70.0,0.0,5868.0,9324.0,3409.0,1464536.0,12157.0,11779.0,147986.0,46972.0,124453.0,0.0,0.0,0.0,0.0,5788.0,33235.0,11198.0,2313184.0,159395.0,159024.0,0.0,0.0,0.0,979364.0,299600.0,156479.0,184.0,0.0,5832.0,28696.0,6675.0,1712492.0,54451.0,0.0,0.0,0.040265
21,bash,1_6,1,0.05,69.0,0.0,5832.0,7914.0,3664.0,1470436.0,10208.0,10022.0,159920.0,50556.0,120087.0,1458.0,4812.0,113671.0,0.0,6048.0,26176.0,7487.0,2303636.0,82735.0,82491.0,3395944.0,1019068.0,205569.0,860076.0,264192.0,146199.0,175.0,0.0,5896.0,15808.0,5247.0,1717136.0,30315.0,30106.0,0.0,0.050025
22,bash,1_6,5,0.05,69.0,0.0,5852.0,7897.0,3660.0,1471124.0,9889.0,9657.0,159920.0,50556.0,121592.0,0.0,0.0,0.0,0.0,5792.0,27678.0,7487.0,2779216.0,95769.0,95341.0,0.0,0.0,0.0,965714.0,295544.0,149342.0,184.0,0.0,5820.0,19062.0,6502.0,1716036.0,35698.0,35493.0,0.0,0.042526
23,bash,1_6,10,0.05,69.0,0.0,5900.0,6838.0,3659.0,1469300.0,9809.0,9611.0,159920.0,50556.0,119911.0,0.0,0.0,0.0,0.0,5820.0,24554.0,7487.0,2505192.0,84791.0,84532.0,0.0,0.0,0.0,965714.0,295544.0,149433.0,184.0,0.0,5788.0,20773.0,6503.0,1709792.0,34475.0,0.0,0.0,0.037673
