space,9_-,10,start
space,9_-,10,fine-grained.preprocess.size,1956376
space,9_-,10,fine-grained.preprocess.time,144403
space,9_-,10,fine-grained.preprocess.number,8085 
space,9_-,10,fine-grained.preprocess.time_p,144177.0
space,9_-,10,fine-grained.mine.size,5852
space,9_-,10,fine-grained.mine.time,39571
space,9_-,10,boost,0.05
space,9_-,10,boost.functions.count,12
space,9_-,10,boost.includes,-sampler-include-method=addscan -sampler-include-method=blockdef -sampler-include-method=fixgramp -sampler-include-method=fixgrpha -sampler-include-method=grwrite -sampler-include-method=intmax -sampler-include-method=intmin -sampler-include-method=mksblock -sampler-include-method=sgrphaun -sampler-include-method=simamp -sampler-include-method=simpha -sampler-include-method=simpol
space,9_-,10,boost.preprocess.size,716664
space,9_-,10,boost.preprocess.time,2602
space,9_-,10,boost.preprocess.number,614 
space,9_-,10,boost.preprocess.time_p,2420.0
space,9_-,10,boost.mine.size,5844
space,9_-,10,boost.mine.time,1691
space,9_-,10,theta,0.798574
space,9_-,10,prune.functions.count,59
space,9_-,10,prune.includes,-sampler-include-method=Get1Real -sampler-include-method=GetInt -sampler-include-method=GetKeyword -sampler-include-method=GetReal -sampler-include-method=GetUName -sampler-include-method=InKWords -sampler-include-method=InUNames -sampler-include-method=InserUN -sampler-include-method=TapeGet -sampler-include-method=adddef -sampler-include-method=addscan -sampler-include-method=adremdef -sampler-include-method=ampunit -sampler-include-method=ampval -sampler-include-method=blockdef -sampler-include-method=elemdef -sampler-include-method=emsginit -sampler-include-method=fixgramp -sampler-include-method=fixgrpha -sampler-include-method=fixport -sampler-include-method=fixselem -sampler-include-method=fixsgrel -sampler-include-method=fixsgrid -sampler-include-method=floatsup -sampler-include-method=geomspec -sampler-include-method=grampexc -sampler-include-method=greldef -sampler-include-method=grexcdef -sampler-include-method=grgeodef -sampler-include-method=griddef1 -sampler-include-method=groupdef -sampler-include-method=grphaexc -sampler-include-method=grwrite -sampler-include-method=intmax -sampler-include-method=intmin -sampler-include-method=isletter -sampler-include-method=kwdsinit -sampler-include-method=lenunit -sampler-include-method=main -sampler-include-method=mksblock -sampler-include-method=moseinit -sampler-include-method=nodecoor -sampler-include-method=nodedef -sampler-include-method=nomefile -sampler-include-method=polspec -sampler-include-method=portspec -sampler-include-method=prnfile -sampler-include-method=readfil3 -sampler-include-method=recspec -sampler-include-method=remdef -sampler-include-method=simamp -sampler-include-method=simgroup -sampler-include-method=simpha -sampler-include-method=simpol -sampler-include-method=sinelem -sampler-include-method=squgrdef -sampler-include-method=unaminit -sampler-include-method=unifamp -sampler-include-method=unifpha
space,9_-,10,prune.preprocess.size,1675512
space,9_-,10,prune.preprocess.time,46857
space,9_-,10,prune.preprocess.number,4360 
space,9_-,10,prune.preprocess.time_p,46658.0
space,9_-,10,prune.mine.size,5792
space,9_-,10,prune.mine.time,37201
space,9_-,10,boost.profile.time,9512
space,9_-,10,boost.profile.size,15016
# /home/sunzzq2/Data/IResearch/Automated_Bug_Isolation/Twopass_heavy/Subjects/space/versions/v9/v9_b.sites
space,9_-,10,boost.profile.number,9396
space,9_-,10,prune-minus-boost.profile.time,35677
space,9_-,10,prune-minus-boost.profile.size,195012
# /home/sunzzq2/Data/IResearch/Automated_Bug_Isolation/Twopass_heavy/Subjects/space/versions/v9/v9_pmb.sites
space,9_-,10,prune-minus-boost.profile.number,153008
space,9_-,10,end
