sed,3_2,5,start
sed,3_2,5,fine-grained.preprocess.size,1560736
sed,3_2,5,fine-grained.preprocess.time,11841
sed,3_2,5,fine-grained.preprocess.number,2189 
sed,3_2,5,fine-grained.preprocess.time_p,11640.0
sed,3_2,5,fine-grained.mine.size,5816
sed,3_2,5,fine-grained.mine.time,2085
sed,3_2,5,boost,0.05
sed,3_2,5,boost.functions.count,8
sed,3_2,5,boost.includes,-sampler-include-method=alt_match_null_string_p -sampler-include-method=common_op_match_null_string_p -sampler-include-method=group_match_null_string_p -sampler-include-method=insert_op1 -sampler-include-method=main -sampler-include-method=mark_subst_opts -sampler-include-method=panic -sampler-include-method=setup_jump
sed,3_2,5,boost.preprocess.size,171364
sed,3_2,5,boost.preprocess.time,894
sed,3_2,5,boost.preprocess.number,241 
sed,3_2,5,boost.preprocess.time_p,809.0
sed,3_2,5,boost.mine.size,5828
sed,3_2,5,boost.mine.time,2979
sed,3_2,5,theta,0.016781
sed,3_2,5,prune.functions.count,54
sed,3_2,5,prune.includes,-sampler-include-method=add1_buffer -sampler-include-method=alt_match_null_string_p -sampler-include-method=check_final_program -sampler-include-method=ck_fclose -sampler-include-method=ck_fopen -sampler-include-method=ck_free -sampler-include-method=ck_fwrite -sampler-include-method=ck_malloc -sampler-include-method=ck_memdup -sampler-include-method=ck_realloc -sampler-include-method=ck_strdup -sampler-include-method=close_all_files -sampler-include-method=closedown -sampler-include-method=common_op_match_null_string_p -sampler-include-method=compile_address -sampler-include-method=compile_file -sampler-include-method=compile_program -sampler-include-method=compile_regex -sampler-include-method=do_subst -sampler-include-method=dump_append_queue -sampler-include-method=execute_program -sampler-include-method=free_buffer -sampler-include-method=group_match_null_string_p -sampler-include-method=in_nonblank -sampler-include-method=inchar -sampler-include-method=init_buffer -sampler-include-method=init_syntax_once -sampler-include-method=insert_op1 -sampler-include-method=line_init -sampler-include-method=main -sampler-include-method=map_file -sampler-include-method=mark_subst_opts -sampler-include-method=match_address_p -sampler-include-method=match_an_address_p -sampler-include-method=match_slash -sampler-include-method=new_vector -sampler-include-method=next_cmd_entry -sampler-include-method=open_next_file -sampler-include-method=output_line -sampler-include-method=panic -sampler-include-method=process_files -sampler-include-method=re_match_2_internal -sampler-include-method=re_search -sampler-include-method=re_search_2 -sampler-include-method=read_mem_line -sampler-include-method=read_pattern_space -sampler-include-method=regcomp -sampler-include-method=regex_compile -sampler-include-method=regnexec -sampler-include-method=resize_line -sampler-include-method=savchar -sampler-include-method=setup_jump -sampler-include-method=str_append -sampler-include-method=unmap_file
sed,3_2,5,prune.preprocess.size,1531348
sed,3_2,5,prune.preprocess.time,10518
sed,3_2,5,prune.preprocess.number,2160 
sed,3_2,5,prune.preprocess.time_p,10329.0
sed,3_2,5,prune.mine.size,5868
sed,3_2,5,prune.mine.time,1465
sed,3_2,5,boost.profile.time,4128
sed,3_2,5,boost.profile.size,6445
# /home/sunzzq2/Data/IResearch/Automated_Bug_Isolation/Twopass_heavy/Subjects/sed/versions/v3/subv2/v3_subv2_b.sites
sed,3_2,5,boost.profile.number,17804
sed,3_2,5,prune.profile.time,33135
sed,3_2,5,prune.profile.size,147901
# /home/sunzzq2/Data/IResearch/Automated_Bug_Isolation/Twopass_heavy/Subjects/sed/versions/v3/subv2/v3_subv2_p.sites
sed,3_2,5,prune.profile.number,402942
sed,3_2,5,prune-minus-boost.profile.time,30799
sed,3_2,5,prune-minus-boost.profile.size,138055
# /home/sunzzq2/Data/IResearch/Automated_Bug_Isolation/Twopass_heavy/Subjects/sed/versions/v3/subv2/v3_subv2_pmb.sites
sed,3_2,5,prune-minus-boost.profile.number,375226
sed,3_2,5,end
