space,33_-,5,start
space,33_-,5,fine-grained.preprocess.size,1932600
space,33_-,5,fine-grained.preprocess.time,89400
space,33_-,5,fine-grained.preprocess.number,5171 
space,33_-,5,fine-grained.preprocess.time_p,89194.0
space,33_-,5,fine-grained.mine.size,5872
space,33_-,5,fine-grained.mine.time,95968
space,33_-,5,boost,0.05
space,33_-,5,boost.functions.count,3
space,33_-,5,boost.includes,-sampler-include-method=gnodevis -sampler-include-method=gnodfind -sampler-include-method=seqrotrg
space,33_-,5,boost.preprocess.size,318180
space,33_-,5,boost.preprocess.time,1366
space,33_-,5,boost.preprocess.number,487 
space,33_-,5,boost.preprocess.time_p,1241.0
space,33_-,5,boost.mine.size,5808
space,33_-,5,boost.mine.time,1521
space,33_-,5,theta,0.032151
space,33_-,5,prune.functions.count,73
space,33_-,5,prune.includes,-sampler-include-method=Get1Real -sampler-include-method=GetInt -sampler-include-method=GetKeyword -sampler-include-method=GetReal -sampler-include-method=GetUName -sampler-include-method=InKWords -sampler-include-method=InUNames -sampler-include-method=InserUN -sampler-include-method=TapeGet -sampler-include-method=adddef -sampler-include-method=addscan -sampler-include-method=adremdef -sampler-include-method=ampunit -sampler-include-method=ampval -sampler-include-method=anglerot -sampler-include-method=angunit -sampler-include-method=doubstep -sampler-include-method=elemdef -sampler-include-method=emsginit -sampler-include-method=extremes -sampler-include-method=fixgramp -sampler-include-method=fixgrpha -sampler-include-method=fixnodor -sampler-include-method=fixport -sampler-include-method=fixselem -sampler-include-method=fixsgrel -sampler-include-method=fixsgrid -sampler-include-method=floatsup -sampler-include-method=geomspec -sampler-include-method=gnodevis -sampler-include-method=gnodfind -sampler-include-method=grampexc -sampler-include-method=greldef -sampler-include-method=grexcdef -sampler-include-method=grgeodef -sampler-include-method=griddef1 -sampler-include-method=groupdef -sampler-include-method=grphaexc -sampler-include-method=grwrite -sampler-include-method=isletter -sampler-include-method=kwdsinit -sampler-include-method=lenunit -sampler-include-method=main -sampler-include-method=mksnode -sampler-include-method=moseinit -sampler-include-method=nodecoor -sampler-include-method=nodedef -sampler-include-method=nodorien -sampler-include-method=nomefile -sampler-include-method=polspec -sampler-include-method=portspec -sampler-include-method=pqlimits -sampler-include-method=prnfile -sampler-include-method=readfil3 -sampler-include-method=recgrdef -sampler-include-method=recspec -sampler-include-method=remdef -sampler-include-method=secorpha -sampler-include-method=seqrotrg -sampler-include-method=serotdir -sampler-include-method=serotpar -sampler-include-method=serotpha -sampler-include-method=sgrampun -sampler-include-method=sgrphasr -sampler-include-method=simamp -sampler-include-method=simgroup -sampler-include-method=simpha -sampler-include-method=simpol -sampler-include-method=sinelem -sampler-include-method=squgrdef -sampler-include-method=unaminit -sampler-include-method=unifamp -sampler-include-method=unifpha
space,33_-,5,prune.preprocess.size,1792368
space,33_-,5,prune.preprocess.time,63792
space,33_-,5,prune.preprocess.number,4843 
space,33_-,5,prune.preprocess.time_p,63610.0
space,33_-,5,prune.mine.size,5888
space,33_-,5,prune.mine.time,82415
space,33_-,5,boost.profile.time,10439
space,33_-,5,boost.profile.size,10092
# /home/sunzzq2/Data/IResearch/Automated_Bug_Isolation/Twopass_heavy/Subjects/space/versions/v33/v33_b.sites
space,33_-,5,boost.profile.number,7916
space,33_-,5,prune.profile.time,54664
space,33_-,5,prune.profile.size,359686
# /home/sunzzq2/Data/IResearch/Automated_Bug_Isolation/Twopass_heavy/Subjects/space/versions/v33/v33_p.sites
space,33_-,5,prune.profile.number,289370
space,33_-,5,prune-minus-boost.profile.time,51043
space,33_-,5,prune-minus-boost.profile.size,311585
# /home/sunzzq2/Data/IResearch/Automated_Bug_Isolation/Twopass_heavy/Subjects/space/versions/v33/v33_pmb.sites
space,33_-,5,prune-minus-boost.profile.number,249978
space,33_-,5,end
